_element_key,_element_name,_element_type,_list_child_element_keys
Location,Location,geopoint,"[""Location_accuracy"",""Location_altitude"",""Location_latitude"",""Location_longitude""]"
Location_accuracy,accuracy,number,[]
Location_altitude,altitude,number,[]
Location_latitude,latitude,number,[]
Location_longitude,longitude,number,[]
admin_region,admin_region,string,[]
climate_zone,climate_zone,string,[]
contact_name,contact_name,string,[]
delivery_type,delivery_type,string,[]
distance_to_supply,distance_to_supply,number,[]
electricity_source,electricity_source,string,[]
facility_coverage,facility_coverage,number,[]
facility_id,facility_id,string,[]
facility_name,facility_name,string,[]
facility_ownership,facility_ownership,string,[]
facility_population,facility_population,number,[]
facility_type,facility_type,string,[]
gas_availability,gas_availability,string,[]
grid_power_availability,grid_power_availability,string,[]
kerosene_availability,kerosene_availability,string,[]
solar_suitable_climate,solar_suitable_climate,string,[]
solar_suitable_site,solar_suitable_site,string,[]
storage_type,storage_type,string,[]
vaccine_reserve_stock_requirement,vaccine_reserve_stock_requirement,number,[]
vaccine_supply_interval,vaccine_supply_interval,number,[]
vaccine_supply_mode,vaccine_supply_mode,string,[]
