_element_key,_element_name,_element_type,_list_child_element_keys
age,age,integer,[]
attend_school,attend_school,string,[]
currently_school,currently_school,string,[]
electricity,electricity,string,[]
grade_level,grade_level,string,[]
household_id,household_id,string,[]
income_contribution,income_contribution,string,[]
location,location,geopoint,"[""location_latitude"",""location_longitude"",""location_altitude"",""location_accuracy""]"
location_accuracy,accuracy,number,[]
location_altitude,altitude,number,[]
location_latitude,latitude,number,[]
location_longitude,longitude,number,[]
name,name,string,[]
num_rooms,num_rooms,integer,[]
owner,owner,string,[]
post_secondary,post_secondary,string,[]
school_type,school_type,array,"[""school_type_items""]"
school_type_items,items,string,[]
sex,sex,string,[]
water,water,string,[]
write_language,write_language,string,[]
youngest,youngest,array,"[""youngest_items""]"
youngest_items,items,string,[]
