_partition,_aspect,_key,_type,_value
Column,age,displayChoicesList,object,""
Column,age,displayFormat,string,""
Column,age,displayName,string,"""age"""
Column,age,displayVisible,boolean,TRUE
Column,age,joins,object,""
Column,attend_school,displayChoicesList,object,""
Column,attend_school,displayFormat,string,""
Column,attend_school,displayName,string,"""attend_school"""
Column,attend_school,displayVisible,boolean,TRUE
Column,attend_school,joins,object,""
Column,currently_school,displayChoicesList,object,""
Column,currently_school,displayFormat,string,""
Column,currently_school,displayName,string,"""currently_school"""
Column,currently_school,displayVisible,boolean,TRUE
Column,currently_school,joins,object,""
Column,electricity,displayChoicesList,object,""
Column,electricity,displayFormat,string,""
Column,electricity,displayName,string,"""electricity"""
Column,electricity,displayVisible,boolean,TRUE
Column,electricity,joins,object,""
Column,grade_level,displayChoicesList,object,""
Column,grade_level,displayFormat,string,""
Column,grade_level,displayName,string,"""grade_level"""
Column,grade_level,displayVisible,boolean,TRUE
Column,grade_level,joins,object,""
Column,household_id,displayChoicesList,object,""
Column,household_id,displayFormat,string,""
Column,household_id,displayName,string,"""household_id"""
Column,household_id,displayVisible,boolean,TRUE
Column,household_id,joins,object,""
Column,income_contribution,displayChoicesList,object,""
Column,income_contribution,displayFormat,string,""
Column,income_contribution,displayName,string,"""income_contribution"""
Column,income_contribution,displayVisible,boolean,TRUE
Column,income_contribution,joins,object,""
Column,location,displayChoicesList,object,""
Column,location,displayFormat,string,""
Column,location,displayName,string,"""location"""
Column,location,displayVisible,boolean,TRUE
Column,location,joins,object,""
Column,location_accuracy,displayChoicesList,object,""
Column,location_accuracy,displayFormat,string,""
Column,location_accuracy,displayName,string,"""accuracy"""
Column,location_accuracy,displayVisible,boolean,TRUE
Column,location_accuracy,joins,object,""
Column,location_altitude,displayChoicesList,object,""
Column,location_altitude,displayFormat,string,""
Column,location_altitude,displayName,string,"""altitude"""
Column,location_altitude,displayVisible,boolean,TRUE
Column,location_altitude,joins,object,""
Column,location_latitude,displayChoicesList,object,""
Column,location_latitude,displayFormat,string,""
Column,location_latitude,displayName,string,"""latitude"""
Column,location_latitude,displayVisible,boolean,TRUE
Column,location_latitude,joins,object,""
Column,location_longitude,displayChoicesList,object,""
Column,location_longitude,displayFormat,string,""
Column,location_longitude,displayName,string,"""longitude"""
Column,location_longitude,displayVisible,boolean,TRUE
Column,location_longitude,joins,object,""
Column,name,displayChoicesList,object,""
Column,name,displayFormat,string,""
Column,name,displayName,string,"""name"""
Column,name,displayVisible,boolean,TRUE
Column,name,joins,object,""
Column,num_rooms,displayChoicesList,object,""
Column,num_rooms,displayFormat,string,""
Column,num_rooms,displayName,string,"""num_rooms"""
Column,num_rooms,displayVisible,boolean,TRUE
Column,num_rooms,joins,object,""
Column,owner,displayChoicesList,object,""
Column,owner,displayFormat,string,""
Column,owner,displayName,string,"""owner"""
Column,owner,displayVisible,boolean,TRUE
Column,owner,joins,object,""
Column,post_secondary,displayChoicesList,object,""
Column,post_secondary,displayFormat,string,""
Column,post_secondary,displayName,string,"""post_secondary"""
Column,post_secondary,displayVisible,boolean,TRUE
Column,post_secondary,joins,object,""
Column,school_type,displayChoicesList,object,""
Column,school_type,displayFormat,string,""
Column,school_type,displayName,string,"""school_type"""
Column,school_type,displayVisible,boolean,TRUE
Column,school_type,joins,object,""
Column,school_type_items,displayChoicesList,object,""
Column,school_type_items,displayFormat,string,""
Column,school_type_items,displayName,string,"""items"""
Column,school_type_items,displayVisible,boolean,TRUE
Column,school_type_items,joins,object,""
Column,sex,displayChoicesList,object,""
Column,sex,displayFormat,string,""
Column,sex,displayName,string,"""sex"""
Column,sex,displayVisible,boolean,TRUE
Column,sex,joins,object,""
Column,water,displayChoicesList,object,""
Column,water,displayFormat,string,""
Column,water,displayName,string,"""water"""
Column,water,displayVisible,boolean,TRUE
Column,water,joins,object,""
Column,write_language,displayChoicesList,object,""
Column,write_language,displayFormat,string,""
Column,write_language,displayName,string,"""write_language"""
Column,write_language,displayVisible,boolean,TRUE
Column,write_language,joins,object,""
Column,youngest,displayChoicesList,object,""
Column,youngest,displayFormat,string,""
Column,youngest,displayName,string,"""youngest"""
Column,youngest,displayVisible,boolean,TRUE
Column,youngest,joins,object,""
Column,youngest_items,displayChoicesList,object,""
Column,youngest_items,displayFormat,string,""
Column,youngest_items,displayName,string,"""items"""
Column,youngest_items,displayVisible,boolean,TRUE
Column,youngest_items,joins,object,""
FormType,default,FormType.formType,string,SURVEY
SurveyUtil,default,SurveyUtil.formId,string,member
Table,default,colOrder,object,"[""household_id"",""num_rooms"",""electricity"",""water"",""location_latitude"",""location_longitude"",""location_altitude"",""location_accuracy"",""name"",""age"",""sex"",""income_contribution"",""owner"",""youngest"",""write_language"",""attend_school"",""school_type"",""grade_level"",""post_secondary"",""currently_school""]"
Table,default,defaultViewType,string,Spreadsheet
Table,default,displayName,object,"""Household Members"""
Table,default,groupByCols,string,[]
Table,default,indexCol,string,""
Table,default,sortCol,string,""
Table,default,sortOrder,string,""
TableColorRuleGroup,default,StatusColumn.ruleList,object,"[{""mValue"":""synced"",""mElementKey"":""_sync_state"",""mOperator"":""EQUAL"",""mId"":""syncStateSynced"",""mForeground"":-16777216,""mBackground"":-1},{""mValue"":""synced_pending_files"",""mElementKey"":""_sync_state"",""mOperator"":""EQUAL"",""mId"":""syncStateSyncedPendingFiles"",""mForeground"":-16777216,""mBackground"":-1},{""mValue"":""new_row"",""mElementKey"":""_sync_state"",""mOperator"":""EQUAL"",""mId"":""defaultRule_syncStateNewRow"",""mForeground"":-16777216,""mBackground"":-16711936},{""mValue"":""changed"",""mElementKey"":""_sync_state"",""mOperator"":""EQUAL"",""mId"":""defaultRule_syncStateChanged"",""mForeground"":-16777216,""mBackground"":-935891},{""mValue"":""in_conflict"",""mElementKey"":""_sync_state"",""mOperator"":""EQUAL"",""mId"":""defaultRule_syncStateInConflict"",""mForeground"":-16777216,""mBackground"":-65536},{""mValue"":""deleted"",""mElementKey"":""_sync_state"",""mOperator"":""EQUAL"",""mId"":""defaultRule_syncStateDeleted"",""mForeground"":-16777216,""mBackground"":-12303292}]"
