_partition,_aspect,_key,_type,_value
Column,ArtAmod_dosing,displayChoicesList,object,"[{""comments"":""ArtAmod_dosing"",""choice_list_name"":""ArtAmod_dosing"",""data_value"":""FixedDose"",""display"":{""text"":""Fixed Dose Combination Artesunate (AS) + Amodiaquine (AQ)  (Standard Regimen)""},""_row_num"":127},{""choice_list_name"":""ArtAmod_dosing"",""data_value"":""CoBlistered"",""display"":{""text"":""Co-Blistered Tablets (50 mg Artesunate, 150 mg Amodiaquine) for ONCE or TWICE daily dosing regimen""},""_row_num"":128}]"
Column,Dehyd_IV,displayChoicesList,object,"[{""choice_list_name"":""yes_no"",""data_value"":""no"",""display"":{""text"":""No""},""_row_num"":33},{""choice_list_name"":""yes_no"",""data_value"":""yes"",""display"":{""text"":""Yes""},""_row_num"":34}]"
Column,able_to_drink,displayChoicesList,object,"[{""choice_list_name"":""yes_no"",""data_value"":""no"",""display"":{""text"":""No""},""_row_num"":33},{""choice_list_name"":""yes_no"",""data_value"":""yes"",""display"":{""text"":""Yes""},""_row_num"":34}]"
Column,altern_abx,displayChoicesList,object,"[{""comments"":""amoxicillin alternatives"",""choice_list_name"":""altern_abx"",""data_value"":""eryth"",""display"":{""text"":""Erythromycin, oral""},""_row_num"":22},{""choice_list_name"":""altern_abx"",""data_value"":""azith"",""display"":{""text"":""Azithromycin, oral""},""_row_num"":23}]"
Column,amox_allergy,displayChoicesList,object,"[{""choice_list_name"":""yes_no"",""data_value"":""no"",""display"":{""text"":""No""},""_row_num"":33},{""choice_list_name"":""yes_no"",""data_value"":""yes"",""display"":{""text"":""Yes""},""_row_num"":34}]"
Column,amox_tx,displayChoicesList,object,"[{""comments"":""amox_tx"",""choice_list_name"":""amox_tx"",""data_value"":""amox"",""display"":{""text"":""Amoxicillin, oral (125 mg/5 ml)""},""_row_num"":132},{""choice_list_name"":""amox_tx"",""data_value"":""amoxiclav"",""display"":{""text"":""Co-amoxiclav, oral""},""_row_num"":133}]"
Column,anaemia_check,displayChoicesList,object,"[{""choice_list_name"":""no_some_severe"",""data_value"":""none"",""display"":{""text"":""None""},""_row_num"":98},{""choice_list_name"":""no_some_severe"",""data_value"":""some"",""display"":{""text"":""Some <i>(skin of the child's palm is pale)</i>""},""_row_num"":99},{""choice_list_name"":""no_some_severe"",""data_value"":""severe"",""display"":{""text"":""Severe <i>(skin of the palm is so pale that it looks white)</i>""},""_row_num"":100}]"
Column,antimalarial,displayChoicesList,object,"[{""comments"":""antimalarial"",""choice_list_name"":""antimalarial"",""data_value"":""ArtAmod"",""display"":{""text"":""Artesunate-Amodiaquine, oral""},""_row_num"":124},{""choice_list_name"":""antimalarial"",""data_value"":""ArtLum"",""display"":{""text"":""Artemether-Lumefantrine, oral  (Reserved for patients not tolerating Artesunate-Amodiaquine)""},""_row_num"":125},{""choice_list_name"":""antimalarial"",""data_value"":""DihydPip"",""display"":{""text"":""Dihydroartemisinin-Piperaquine, oral""},""_row_num"":126}]"
Column,axillary_temperature_possible,displayChoicesList,object,"[{""choice_list_name"":""yes_no"",""data_value"":""no"",""display"":{""text"":""No""},""_row_num"":33},{""choice_list_name"":""yes_no"",""data_value"":""yes"",""display"":{""text"":""Yes""},""_row_num"":34}]"
Column,basic_q,displayChoicesList,object,"[{""choice_list_name"":""basic_four_questions"",""data_value"":""difficulty_breathing"",""display"":{""text"":""Cough or difficulty breathing""},""_row_num"":119},{""choice_list_name"":""basic_four_questions"",""data_value"":""diarrhoea"",""display"":{""text"":""Diarrhoea""},""_row_num"":120},{""choice_list_name"":""basic_four_questions"",""data_value"":""fever_reported"",""display"":{""text"":""Fever""},""_row_num"":121},{""choice_list_name"":""basic_four_questions"",""data_value"":""ear_problem"",""display"":{""text"":""Ear problem""},""_row_num"":122}]"
Column,birthdayKnown,displayChoicesList,object,"[{""choice_list_name"":""yes_no"",""data_value"":""no"",""display"":{""text"":""No""},""_row_num"":33},{""choice_list_name"":""yes_no"",""data_value"":""yes"",""display"":{""text"":""Yes""},""_row_num"":34}]"
Column,blood_in_stool,displayChoicesList,object,"[{""choice_list_name"":""yes_no"",""data_value"":""no"",""display"":{""text"":""No""},""_row_num"":33},{""choice_list_name"":""yes_no"",""data_value"":""yes"",""display"":{""text"":""Yes""},""_row_num"":34}]"
