_element_key,_element_name,_element_type,_list_child_element_keys
able_to_drink,able_to_drink,string,[]
acknowledge_continue_feeding,acknowledge_continue_feeding,boolean,[]
acknowledge_give_IFA_14_days,acknowledge_give_IFA_14_days,boolean,[]
acknowledge_give_cotrimoxazole,acknowledge_give_cotrimoxazole,boolean,[]
acknowledge_give_cotrimoxazole_red,acknowledge_give_cotrimoxazole_red,boolean,[]
acknowledge_give_doxycycline,acknowledge_give_doxycycline,boolean,[]
acknowledge_give_gentian_violet,acknowledge_give_gentian_violet,boolean,[]
acknowledge_give_ifa_tablet,acknowledge_give_ifa_tablet,boolean,[]
acknowledge_give_paracetamol_red,acknowledge_give_paracetamol_red,boolean,[]
acknowledge_give_prophylactic_vitamin_a,acknowledge_give_prophylactic_vitamin_a,boolean,[]
acknowledge_give_quinine_red,acknowledge_give_quinine_red,boolean,[]
acknowledge_keep_warm_on_way_red,acknowledge_keep_warm_on_way_red,boolean,[]
acknowledge_keep_warm_red,acknowledge_keep_warm_red,boolean,[]
acknowledge_prevent_low_blood_sugar,acknowledge_prevent_low_blood_sugar,boolean,[]
acknowledge_refer_for_assessment,acknowledge_refer_for_assessment,boolean,[]
acknowledge_referral_reminder_red,acknowledge_referral_reminder_red,boolean,[]
acknowledge_severe_condition_referral,acknowledge_severe_condition_referral,boolean,[]
acknowledge_severe_condition_referral_begin_red,acknowledge_severe_condition_referral_begin_red,boolean,[]
anaemia_check,anaemia_check,string,[]
antimalarial,antimalarial,string,[]
axillary_temperature,axillary_temperature,number,[]
axillary_temperature_possible,axillary_temperature_possible,string,[]
basic_q,basic_q,array,"[""basic_q_items""]"
basic_q_items,items,string,[]
birthday,birthday,date,[]
birthdayKnown,birthdayKnown,string,[]
blood_in_stool,blood_in_stool,string,[]
breastfed,breastfed,string,[]
breastfed_at_night,breastfed_at_night,string,[]
breastfeedings_per_day,breastfeedings_per_day,integer,[]
breath_count,breath_count,integer,[]
breath_count_2,breath_count_2,integer,[]
bulging_fontanelle,bulging_fontanelle,string,[]
change_in_feeding,change_in_feeding,string,[]
change_in_feeding_how,change_in_feeding_how,string,[]
chest_indrawing,chest_indrawing,string,[]
cholera_in_area,cholera_in_area,string,[]
convulsions,convulsions,string,[]
cornea_clouding,cornea_clouding,string,[]
cotrimoxazole_type,cotrimoxazole_type,string,[]
cotrimoxazole_type_red,cotrimoxazole_type_red,string,[]
diarrhoea_days,diarrhoea_days,integer,[]
drinking_eagerly,drinking_eagerly,string,[]
drinking_poorly,drinking_poorly,string,[]
ear_discharge_days,ear_discharge_days,integer,[]
ear_discharge_observed,ear_discharge_observed,string,[]
ear_discharge_reported,ear_discharge_reported,string,[]
ear_pain,ear_pain,string,[]
ear_swelling,ear_swelling,string,[]
eye_pus,eye_pus,string,[]
feel_for_fever,feel_for_fever,string,[]
fever_days,fever_days,integer,[]
fever_present_every_day,fever_present_every_day,string,[]
given_vaccinations,given_vaccinations,array,"[""given_vaccinations_items""]"
given_vaccinations_items,items,string,[]
going_to_hospital,going_to_hospital,string,[]
how_long_difficulty_breathing,how_long_difficulty_breathing,integer,[]
leave_before_treatment_end,leave_before_treatment_end,string,[]
lethargic,lethargic,string,[]
malaria_risk,malaria_risk,string,[]
malnutrition_grade,malnutrition_grade,string,[]
measles_three_month,measles_three_month,string,[]
monthsOld,monthsOld,integer,[]
mouth_ulcers,mouth_ulcers,string,[]
mouth_ulcers_deep,mouth_ulcers_deep,string,[]
name,name,string,[]
needed_vaccinations,needed_vaccinations,array,"[""needed_vaccinations_items""]"
needed_vaccinations_items,items,string,[]
oedema,oedema,string,[]
other_foods_per_day,other_foods_per_day,integer,[]
other_foods_types,other_foods_types,array,"[""other_foods_types_items""]"
other_foods_types_items,items,string,[]
other_problems,other_problems,string,[]
pulseox,pulseox,object,"[""pulseox_ox"",""pulseox_pulse""]"
pulseox_ox,ox,number,[]
pulseox_pulse,pulse,number,[]
rash_generalized,rash_generalized,string,[]
red_eyes,red_eyes,string,[]
refer_for_other_problems,refer_for_other_problems,boolean,[]
refer_urgently_to_hospital,refer_urgently_to_hospital,boolean,[]
restless,restless,string,[]
runny_nose,runny_nose,string,[]
separate_serving,separate_serving,string,[]
serving_size,serving_size,number,[]
serving_unit,serving_unit,string,[]
skin_elasticity,skin_elasticity,string,[]
stiff_neck,stiff_neck,string,[]
stridor,stridor,string,[]
sunken_eyes,sunken_eyes,string,[]
takes_other_foods,takes_other_foods,string,[]
under_2_months,under_2_months,boolean,[]
visit_type,visit_type,string,[]
vomit_everything,vomit_everything,string,[]
wasting,wasting,string,[]
weight,weight,number,[]
who_feeds_how,who_feeds_how,string,[]
zinc_type,zinc_type,string,[]
