_partition,_aspect,_key,_type,_value
Column,able_to_drink,displayChoicesList,object,"[{""choice_list_name"":""yes_no"",""data_value"":""yes"",""display"":{""title"":{""text"":{""default"":""Yes"",""hindi"":""हाँ""}}},""_row_num"":2},{""choice_list_name"":""yes_no"",""data_value"":""no"",""display"":{""title"":{""text"":{""default"":""No"",""hindi"":""ना""}}},""_row_num"":3}]"
Column,anaemia_check,displayChoicesList,object,"[{""choice_list_name"":""no_some_severe"",""data_value"":""none"",""display"":{""title"":{""text"":{""default"":""None"",""hindi"":""कुच्छ""}}},""_row_num"":70},{""choice_list_name"":""no_some_severe"",""data_value"":""some"",""display"":{""title"":{""text"":{""default"":""Some"",""hindi"":""तोढा""}}},""_row_num"":71},{""choice_list_name"":""no_some_severe"",""data_value"":""severe"",""display"":{""title"":{""text"":{""default"":""Severe"",""hindi"":""बहुत""}}},""_row_num"":72}]"
Column,antimalarial,displayChoicesList,object,"[{""choice_list_name"":""antimalarial"",""data_value"":""chloroquine"",""display"":{""title"":{""text"":""First-line antimalarial:<br />\nChloroquine""}},""_row_num"":97},{""choice_list_name"":""antimalarial"",""data_value"":""sulphadoxine"",""display"":{""title"":{""text"":""Second-line antimalarial:\n<br />Sulphadoxine (or sulphalena) plus pyrimethamine*<br />\n*First line treatment in areas with High Resistance to Chloroquine""}},""_row_num"":98}]"
Column,axillary_temperature_possible,displayChoicesList,object,"[{""choice_list_name"":""yes_no"",""data_value"":""yes"",""display"":{""title"":{""text"":{""default"":""Yes"",""hindi"":""हाँ""}}},""_row_num"":2},{""choice_list_name"":""yes_no"",""data_value"":""no"",""display"":{""title"":{""text"":{""default"":""No"",""hindi"":""ना""}}},""_row_num"":3}]"
Column,basic_q,displayChoicesList,object,"[{""choice_list_name"":""basic_four_questions"",""data_value"":""difficulty_breathing"",""display"":{""title"":{""text"":""Cough or difficulty breathing""}},""_row_num"":92},{""choice_list_name"":""basic_four_questions"",""data_value"":""diarrhoea"",""display"":{""title"":{""text"":""Diarrhoea""}},""_row_num"":93},{""choice_list_name"":""basic_four_questions"",""data_value"":""fever_reported"",""display"":{""title"":{""text"":""Fever""}},""_row_num"":94},{""choice_list_name"":""basic_four_questions"",""data_value"":""ear_problem"",""display"":{""title"":{""text"":""Ear problem""}},""_row_num"":95}]"
Column,basic_q,displayName,object,"{""text"":""Which symptoms does the child have?""}"
Column,birthdayKnown,displayChoicesList,object,"[{""choice_list_name"":""yes_no"",""data_value"":""yes"",""display"":{""title"":{""text"":{""default"":""Yes"",""hindi"":""हाँ""}}},""_row_num"":2},{""choice_list_name"":""yes_no"",""data_value"":""no"",""display"":{""title"":{""text"":{""default"":""No"",""hindi"":""ना""}}},""_row_num"":3}]"
Column,blood_in_stool,displayChoicesList,object,"[{""choice_list_name"":""yes_no"",""data_value"":""yes"",""display"":{""title"":{""text"":{""default"":""Yes"",""hindi"":""हाँ""}}},""_row_num"":2},{""choice_list_name"":""yes_no"",""data_value"":""no"",""display"":{""title"":{""text"":{""default"":""No"",""hindi"":""ना""}}},""_row_num"":3}]"
Column,breastfed,displayChoicesList,object,"[{""choice_list_name"":""yes_no"",""data_value"":""yes"",""display"":{""title"":{""text"":{""default"":""Yes"",""hindi"":""हाँ""}}},""_row_num"":2},{""choice_list_name"":""yes_no"",""data_value"":""no"",""display"":{""title"":{""text"":{""default"":""No"",""hindi"":""ना""}}},""_row_num"":3}]"
Column,breastfed_at_night,displayChoicesList,object,"[{""choice_list_name"":""yes_no"",""data_value"":""yes"",""display"":{""title"":{""text"":{""default"":""Yes"",""hindi"":""हाँ""}}},""_row_num"":2},{""choice_list_name"":""yes_no"",""data_value"":""no"",""display"":{""title"":{""text"":{""default"":""No"",""hindi"":""ना""}}},""_row_num"":3}]"
