_element_key,_element_name,_element_type,_list_child_element_keys
build_quality,build_quality,integer,[]
build_quality_image,build_quality_image,mimeUri,"[""build_quality_image_contentType"",""build_quality_image_uriFragment""]"
build_quality_image_contentType,contentType,mimeType,[]
build_quality_image_uriFragment,uriFragment,rowpath,[]
build_quality_reason,build_quality_reason,string,[]
date_serviced,date_serviced,date,[]
days_from_warranty_claim_until_repaired,days_from_warranty_claim_until_repaired,integer,[]
freeze_alarms,freeze_alarms,integer,[]
functional,functional,integer,[]
heat_alarms,heat_alarms,integer,[]
heat_alarms_over_48,heat_alarms_over_48,integer,[]
refrigerator_failure,refrigerator_failure,string,[]
refrigerator_id,refrigerator_id,string,[]
voltage_stabilizer_not_working_reason,voltage_stabilizer_not_working_reason,string,[]
voltage_stabilizer_replaced,voltage_stabilizer_replaced,integer,[]
voltage_stabilizer_replaced_reason,voltage_stabilizer_replaced_reason,string,[]
voltage_stabilizer_working,voltage_stabilizer_working,integer,[]
warranty_claim_been_made,warranty_claim_been_made,integer,[]
warranty_claim_date,warranty_claim_date,date,[]
