_element_key,_element_name,_element_type,_list_child_element_keys
as_of_date,as_of_date,date,[]
description,description,string,[]
location,location,geopoint,"[""location_accuracy"",""location_altitude"",""location_latitude"",""location_longitude""]"
location_accuracy,accuracy,number,[]
location_altitude,altitude,number,[]
location_latitude,latitude,number,[]
location_longitude,longitude,number,[]
obj_name,obj_name,string,[]
photo,photo,mimeUri,"[""photo_contentType"",""photo_uriFragment""]"
photo_contentType,contentType,mimeType,[]
photo_uriFragment,uriFragment,rowpath,[]
price,price,number,[]
quantity,quantity,integer,[]
scancode,scancode,string,[]
type_of_store,type_of_store,array,"[""type_of_store_items""]"
type_of_store_items,items,string,[]
