_partition,_aspect,_key,_type,_value
Column,addtl_spare_parts,displayName,object,"{""text"":{""default"":""Enter additional spare parts"",""es"":""Entrar adicional piezas de repuesto""}}"
Column,date_serviced,displayName,object,"{""text"":{""default"":""Date Serviced"",""es"":""Fecha de Servicio""}}"
Column,notes,displayName,object,"{""text"":{""default"":""Notes"",""es"":""Notas""}}"
Column,refrigerator_id,displayName,object,"{""text"":{""default"":""Refrigerator ID"",""es"":""ID de Frigorífico""}}"
Column,spare_parts,displayChoicesList,object,"[{""choice_list_name"":""common_spare_parts"",""data_value"":""charging_cylinder"",""display"":{""title"":{""text"":{""default"":""Charging Cylinder"",""es"":""Cilindro de carga""}}},""_row_num"":12},{""choice_list_name"":""common_spare_parts"",""data_value"":""condenser_fan"",""display"":{""title"":{""text"":{""default"":""Condenser Fan"",""es"":""Ventilador Condensador""}}},""_row_num"":13},{""choice_list_name"":""common_spare_parts"",""data_value"":""door_gasket"",""display"":{""title"":{""text"":{""default"":""Door Gasket"",""es"":""La Junta de la Puerta""}}},""_row_num"":14},{""choice_list_name"":""common_spare_parts"",""data_value"":""electric_compressor"",""display"":{""title"":{""text"":{""default"":""Electric Compressor"",""es"":""Compresor Eléctrico""}}},""_row_num"":15},{""choice_list_name"":""common_spare_parts"",""data_value"":""fridge_tag"",""display"":{""title"":{""text"":{""default"":""Fridge Tag"",""es"":""Etiqueta Frigorífico""}}},""_row_num"":16},{""choice_list_name"":""common_spare_parts"",""data_value"":""relay"",""display"":{""title"":{""text"":{""default"":""Relay"",""es"":""Relé""}}},""_row_num"":17},{""choice_list_name"":""common_spare_parts"",""data_value"":""rotary_fan"",""display"":{""title"":{""text"":{""default"":""Rotary Fan"",""es"":""Ventilador Rotatorio""}}},""_row_num"":18},{""choice_list_name"":""common_spare_parts"",""data_value"":""solar_compressor"",""display"":{""title"":{""text"":{""default"":""Solar Compressor"",""es"":""Compresor Solar""}}},""_row_num"":19},{""choice_list_name"":""common_spare_parts"",""data_value"":""thermostat"",""display"":{""title"":{""text"":{""default"":""Thermostat"",""es"":""Termostato""}}},""_row_num"":20}]"
Column,spare_parts,displayName,object,"{""text"":{""default"":""Spare Parts"",""es"":""Piezas de Repuesto""}}"
Column,type_of_maintenance,displayChoicesList,object,"[{""choice_list_name"":""maint_types"",""data_value"":""repair"",""display"":{""title"":{""text"":{""default"":""Repair"",""es"":""Reparar""}}},""_row_num"":3},{""choice_list_name"":""maint_types"",""data_value"":""upgrade"",""display"":{""title"":{""text"":{""default"":""Upgrade"",""es"":""Mejorar""}}},""_row_num"":4},{""choice_list_name"":""maint_types"",""data_value"":""preventative"",""display"":{""title"":{""text"":{""default"":""Preventative"",""es"":""Preventivo""}}},""_row_num"":5},{""choice_list_name"":""maint_types"",""data_value"":""inspection"",""display"":{""title"":{""text"":{""default"":""Inspection"",""es"":""Inspección""}}},""_row_num"":6},{""choice_list_name"":""maint_types"",""data_value"":""other"",""display"":{""title"":{""text"":{""default"":""Other"",""es"":""Otro""}}},""_row_num"":7}]"
Column,type_of_maintenance,displayName,object,"{""text"":{""default"":""Type of Maintenance Performed"",""es"":""Tipo de mantenimiento realizado""}}"
FormType,default,FormType.formType,string,SURVEY
SurveyUtil,default,SurveyUtil.formId,string,wrong_form
Table,default,defaultViewType,string,LIST
Table,default,detailViewFileName,string,config/tables/maintenance_logs/html/maintenance_logs_detail.html
Table,default,displayName,object,"{""text"":{""default"":""Maintenance Logs"",""es"":""Registro de Servicio""}}"
Table,default,listViewFileName,string,config/tables/maintenance_logs/html/maintenance_logs_list.html
Table,security,defaultAccessOnCreation,string,HIDDEN
Table,security,unverifiedUserCanCreate,boolean,false
