_element_key,_element_name,_element_type,_list_child_element_keys
advise_second,advise_second,string,[]
age,age,integer,[]
agree_screening,agree_screening,string,[]
ccc,ccc,string,[]
client_consent,client_consent,string,[]
client_id,client_id,integer,[]
comments,comments,string,[]
curr_relationship,curr_relationship,string,[]
curr_taking_art,curr_taking_art,string,[]
curr_tmp,curr_tmp,string,[]
date,date,date,[]
determine,determine,string,[]
discordant,discordant,string,[]
education_level,education_level,string,[]
elisa_blood_drawn,elisa_blood_drawn,string,[]
employment,employment,array,"[""employment_items""]"
employment_items,items,string,[]
employment_other,employment_other,string,[]
ethnic_group,ethnic_group,string,[]
ethnic_group_other,ethnic_group_other,string,[]
hiv_status,hiv_status,string,[]
hiv_tested,hiv_tested,string,[]
ineligible_statement,ineligible_statement,string,[]
influences,influences,string,[]
influences_other,influences_other,string,[]
interviewer_id,interviewer_id,integer,[]
interviewerw_init,interviewerw_init,string,[]
living_children,living_children,integer,[]
living_children_enrolled_female,living_children_enrolled_female,integer,[]
more_children,more_children,string,[]
partner_want_children,partner_want_children,string,[]
preg_want_children,preg_want_children,string,[]
prescr_art,prescr_art,string,[]
prescr_tmp,prescr_tmp,string,[]
pretest,pretest,string,[]
refusal_reasons,refusal_reasons,array,"[""refusal_reasons_items""]"
refusal_reasons_items,items,string,[]
refusal_reasons_other,refusal_reasons_other,string,[]
religion,religion,string,[]
religion_other,religion_other,string,[]
return_disc_retest,return_disc_retest,string,[]
still_relationship,still_relationship,string,[]
test_result,test_result,string,[]
unigold,unigold,string,[]
