_partition,_aspect,_key,_type,_value
Column,advise_second,displayChoicesList,object,""
Column,advise_second,displayFormat,string,""
Column,advise_second,displayName,string,"""advise_second"""
Column,advise_second,displayVisible,boolean,TRUE
Column,advise_second,joins,object,""
Column,age,displayChoicesList,object,""
Column,age,displayFormat,string,""
Column,age,displayName,string,"""age"""
Column,age,displayVisible,boolean,TRUE
Column,age,joins,object,""
Column,agree_screening,displayChoicesList,object,""
Column,agree_screening,displayFormat,string,""
Column,agree_screening,displayName,string,"""agree_screening"""
Column,agree_screening,displayVisible,boolean,TRUE
Column,agree_screening,joins,object,""
Column,ccc,displayChoicesList,object,""
Column,ccc,displayFormat,string,""
Column,ccc,displayName,string,"""ccc"""
Column,ccc,displayVisible,boolean,TRUE
Column,ccc,joins,object,""
Column,client_consent,displayChoicesList,object,""
Column,client_consent,displayFormat,string,""
Column,client_consent,displayName,string,"""client_consent"""
Column,client_consent,displayVisible,boolean,TRUE
Column,client_consent,joins,object,""
Column,client_id,displayChoicesList,object,""
Column,client_id,displayFormat,string,""
Column,client_id,displayName,string,"""client_id"""
Column,client_id,displayVisible,boolean,TRUE
Column,client_id,joins,object,""
Column,comments,displayChoicesList,object,""
Column,comments,displayFormat,string,""
Column,comments,displayName,string,"""comments"""
Column,comments,displayVisible,boolean,TRUE
Column,comments,joins,object,""
Column,curr_relationship,displayChoicesList,object,""
Column,curr_relationship,displayFormat,string,""
Column,curr_relationship,displayName,string,"""curr_relationship"""
Column,curr_relationship,displayVisible,boolean,TRUE
Column,curr_relationship,joins,object,""
Column,curr_taking_art,displayChoicesList,object,""
Column,curr_taking_art,displayFormat,string,""
Column,curr_taking_art,displayName,string,"""curr_taking_art"""
Column,curr_taking_art,displayVisible,boolean,TRUE
Column,curr_taking_art,joins,object,""
Column,curr_tmp,displayChoicesList,object,""
Column,curr_tmp,displayFormat,string,""
Column,curr_tmp,displayName,string,"""curr_tmp"""
Column,curr_tmp,displayVisible,boolean,TRUE
Column,curr_tmp,joins,object,""
Column,date,displayChoicesList,object,""
Column,date,displayFormat,string,""
Column,date,displayName,string,"""date"""
Column,date,displayVisible,boolean,TRUE
Column,date,joins,object,""
Column,determine,displayChoicesList,object,""
Column,determine,displayFormat,string,""
Column,determine,displayName,string,"""determine"""
Column,determine,displayVisible,boolean,TRUE
Column,determine,joins,object,""
Column,discordant,displayChoicesList,object,""
Column,discordant,displayFormat,string,""
Column,discordant,displayName,string,"""discordant"""
Column,discordant,displayVisible,boolean,TRUE
Column,discordant,joins,object,""
Column,education_level,displayChoicesList,object,""
Column,education_level,displayFormat,string,""
Column,education_level,displayName,string,"""education_level"""
Column,education_level,displayVisible,boolean,TRUE
Column,education_level,joins,object,""
Column,elisa_blood_drawn,displayChoicesList,object,""
Column,elisa_blood_drawn,displayFormat,string,""
Column,elisa_blood_drawn,displayName,string,"""elisa_blood_drawn"""
Column,elisa_blood_drawn,displayVisible,boolean,TRUE
Column,elisa_blood_drawn,joins,object,""
Column,employment,displayChoicesList,object,""
Column,employment,displayFormat,string,""
Column,employment,displayName,string,"""employment"""
Column,employment,displayVisible,boolean,TRUE
Column,employment,joins,object,""
Column,employment_items,displayChoicesList,object,""
Column,employment_items,displayFormat,string,""
Column,employment_items,displayName,string,"""items"""
Column,employment_items,displayVisible,boolean,TRUE
Column,employment_items,joins,object,""
Column,employment_other,displayChoicesList,object,""
Column,employment_other,displayFormat,string,""
Column,employment_other,displayName,string,"""employment_other"""
Column,employment_other,displayVisible,boolean,TRUE
Column,employment_other,joins,object,""
Column,ethnic_group,displayChoicesList,object,""
Column,ethnic_group,displayFormat,string,""
Column,ethnic_group,displayName,string,"""ethnic_group"""
Column,ethnic_group,displayVisible,boolean,TRUE
Column,ethnic_group,joins,object,""
Column,ethnic_group_other,displayChoicesList,object,""
Column,ethnic_group_other,displayFormat,string,""
Column,ethnic_group_other,displayName,string,"""ethnic_group_other"""
Column,ethnic_group_other,displayVisible,boolean,TRUE
Column,ethnic_group_other,joins,object,""
Column,hiv_status,displayChoicesList,object,""
Column,hiv_status,displayFormat,string,""
Column,hiv_status,displayName,string,"""hiv_status"""
Column,hiv_status,displayVisible,boolean,TRUE
Column,hiv_status,joins,object,""
Column,hiv_tested,displayChoicesList,object,""
Column,hiv_tested,displayFormat,string,""
Column,hiv_tested,displayName,string,"""hiv_tested"""
Column,hiv_tested,displayVisible,boolean,TRUE
Column,hiv_tested,joins,object,""
Column,ineligible_statement,displayChoicesList,object,""
Column,ineligible_statement,displayFormat,string,""
Column,ineligible_statement,displayName,string,"""ineligible_statement"""
Column,ineligible_statement,displayVisible,boolean,TRUE
Column,ineligible_statement,joins,object,""
Column,influences,displayChoicesList,object,""
Column,influences,displayFormat,string,""
Column,influences,displayName,string,"""influences"""
Column,influences,displayVisible,boolean,TRUE
Column,influences,joins,object,""
Column,influences_other,displayChoicesList,object,""
Column,influences_other,displayFormat,string,""
Column,influences_other,displayName,string,"""influences_other"""
Column,influences_other,displayVisible,boolean,TRUE
Column,influences_other,joins,object,""
Column,interviewer_id,displayChoicesList,object,""
Column,interviewer_id,displayFormat,string,""
Column,interviewer_id,displayName,string,"""interviewer_id"""
Column,interviewer_id,displayVisible,boolean,TRUE
Column,interviewer_id,joins,object,""
Column,interviewerw_init,displayChoicesList,object,""
Column,interviewerw_init,displayFormat,string,""
Column,interviewerw_init,displayName,string,"""interviewerw_init"""
Column,interviewerw_init,displayVisible,boolean,TRUE
Column,interviewerw_init,joins,object,""
Column,living_children,displayChoicesList,object,""
Column,living_children,displayFormat,string,""
Column,living_children,displayName,string,"""living_children"""
Column,living_children,displayVisible,boolean,TRUE
Column,living_children,joins,object,""
Column,living_children_enrolled_female,displayChoicesList,object,""
Column,living_children_enrolled_female,displayFormat,string,""
Column,living_children_enrolled_female,displayName,string,"""living_children_enrolled_female"""
Column,living_children_enrolled_female,displayVisible,boolean,TRUE
Column,living_children_enrolled_female,joins,object,""
Column,more_children,displayChoicesList,object,""
Column,more_children,displayFormat,string,""
Column,more_children,displayName,string,"""more_children"""
Column,more_children,displayVisible,boolean,TRUE
Column,more_children,joins,object,""
Column,partner_want_children,displayChoicesList,object,""
Column,partner_want_children,displayFormat,string,""
Column,partner_want_children,displayName,string,"""partner_want_children"""
Column,partner_want_children,displayVisible,boolean,TRUE
Column,partner_want_children,joins,object,""
Column,preg_want_children,displayChoicesList,object,""
Column,preg_want_children,displayFormat,string,""
Column,preg_want_children,displayName,string,"""preg_want_children"""
Column,preg_want_children,displayVisible,boolean,TRUE
Column,preg_want_children,joins,object,""
Column,prescr_art,displayChoicesList,object,""
Column,prescr_art,displayFormat,string,""
Column,prescr_art,displayName,string,"""prescr_art"""
Column,prescr_art,displayVisible,boolean,TRUE
Column,prescr_art,joins,object,""
Column,prescr_tmp,displayChoicesList,object,""
Column,prescr_tmp,displayFormat,string,""
Column,prescr_tmp,displayName,string,"""prescr_tmp"""
Column,prescr_tmp,displayVisible,boolean,TRUE
Column,prescr_tmp,joins,object,""
Column,pretest,displayChoicesList,object,""
Column,pretest,displayFormat,string,""
Column,pretest,displayName,string,"""pretest"""
Column,pretest,displayVisible,boolean,TRUE
Column,pretest,joins,object,""
Column,refusal_reasons,displayChoicesList,object,""
Column,refusal_reasons,displayFormat,string,""
Column,refusal_reasons,displayName,string,"""refusal_reasons"""
Column,refusal_reasons,displayVisible,boolean,TRUE
Column,refusal_reasons,joins,object,""
Column,refusal_reasons_items,displayChoicesList,object,""
Column,refusal_reasons_items,displayFormat,string,""
Column,refusal_reasons_items,displayName,string,"""items"""
Column,refusal_reasons_items,displayVisible,boolean,TRUE
Column,refusal_reasons_items,joins,object,""
Column,refusal_reasons_other,displayChoicesList,object,""
Column,refusal_reasons_other,displayFormat,string,""
Column,refusal_reasons_other,displayName,string,"""refusal_reasons_other"""
Column,refusal_reasons_other,displayVisible,boolean,TRUE
Column,refusal_reasons_other,joins,object,""
Column,religion,displayChoicesList,object,""
Column,religion,displayFormat,string,""
Column,religion,displayName,string,"""religion"""
Column,religion,displayVisible,boolean,TRUE
Column,religion,joins,object,""
Column,religion_other,displayChoicesList,object,""
Column,religion_other,displayFormat,string,""
Column,religion_other,displayName,string,"""religion_other"""
Column,religion_other,displayVisible,boolean,TRUE
Column,religion_other,joins,object,""
Column,return_disc_retest,displayChoicesList,object,""
Column,return_disc_retest,displayFormat,string,""
Column,return_disc_retest,displayName,string,"""return_disc_retest"""
Column,return_disc_retest,displayVisible,boolean,TRUE
Column,return_disc_retest,joins,object,""
Column,still_relationship,displayChoicesList,object,""
Column,still_relationship,displayFormat,string,""
Column,still_relationship,displayName,string,"""still_relationship"""
Column,still_relationship,displayVisible,boolean,TRUE
Column,still_relationship,joins,object,""
Column,test_result,displayChoicesList,object,""
Column,test_result,displayFormat,string,""
Column,test_result,displayName,string,"""test_result"""
Column,test_result,displayVisible,boolean,TRUE
Column,test_result,joins,object,""
Column,unigold,displayChoicesList,object,""
Column,unigold,displayFormat,string,""
Column,unigold,displayName,string,"""unigold"""
Column,unigold,displayVisible,boolean,TRUE
Column,unigold,joins,object,""
Table,default,colOrder,object,"[""interviewerw_init"",""interviewer_id"",""date"",""client_id"",""agree_screening"",""age"",""ethnic_group"",""ethnic_group_other"",""education_level"",""religion"",""religion_other"",""employment"",""employment_other"",""curr_relationship"",""living_children"",""living_children_enrolled_female"",""hiv_tested"",""test_result"",""ineligible_statement"",""client_consent"",""refusal_reasons"",""refusal_reasons_other"",""hiv_status"",""pretest"",""still_relationship"",""preg_want_children"",""more_children"",""partner_want_children"",""influences"",""influences_other"",""ccc"",""prescr_tmp"",""curr_tmp"",""prescr_art"",""curr_taking_art"",""determine"",""advise_second"",""unigold"",""elisa_blood_drawn"",""discordant"",""return_disc_retest"",""comments""]"
Table,default,defaultViewType,string,SPREADSHEET
Table,default,displayName,object,"""All Partner Form Fields"""
Table,default,groupByCols,object,[]
Table,default,indexCol,string,""
Table,default,sortCol,string,""
Table,default,sortOrder,string,""
TableColorRuleGroup,default,StatusColumn.ruleList,object,"[{""mValue"":""synced"",""mElementKey"":""_sync_state"",""mOperator"":""EQUAL"",""mId"":""syncStateSynced"",""mForeground"":-16777216,""mBackground"":-1},{""mValue"":""synced_pending_files"",""mElementKey"":""_sync_state"",""mOperator"":""EQUAL"",""mId"":""syncStateSyncedPendingFiles"",""mForeground"":-16777216,""mBackground"":-1},{""mValue"":""new_row"",""mElementKey"":""_sync_state"",""mOperator"":""EQUAL"",""mId"":""defaultRule_syncStateNewRow"",""mForeground"":-16777216,""mBackground"":-16711936},{""mValue"":""changed"",""mElementKey"":""_sync_state"",""mOperator"":""EQUAL"",""mId"":""defaultRule_syncStateChanged"",""mForeground"":-16777216,""mBackground"":-935891},{""mValue"":""in_conflict"",""mElementKey"":""_sync_state"",""mOperator"":""EQUAL"",""mId"":""defaultRule_syncStateInConflict"",""mForeground"":-16777216,""mBackground"":-65536},{""mValue"":""deleted"",""mElementKey"":""_sync_state"",""mOperator"":""EQUAL"",""mId"":""defaultRule_syncStateDeleted"",""mForeground"":-16777216,""mBackground"":-12303292}]"
