_partition,_aspect,_key,_type,_value
Column,M_FOL_B_focal_AnimID,displayChoicesList,object,""
Column,M_FOL_B_focal_AnimID,displayFormat,string,""
Column,M_FOL_B_focal_AnimID,displayName,string,"""M_FOL_B_focal_AnimID"""
Column,M_FOL_B_focal_AnimID,displayVisible,boolean,true
Column,M_FOL_B_focal_AnimID,joins,object,""
Column,M_FOL_date,displayChoicesList,object,""
Column,M_FOL_date,displayFormat,string,""
Column,M_FOL_date,displayName,string,"""M_FOL_date"""
Column,M_FOL_date,displayVisible,boolean,true
Column,M_FOL_date,joins,object,""
Column,M_comments,displayChoicesList,object,""
Column,M_comments,displayFormat,string,""
Column,M_comments,displayName,string,"""M_comments"""
Column,M_comments,displayVisible,boolean,true
Column,M_comments,joins,object,""
Column,M_consort_flag,displayChoicesList,object,""
Column,M_consort_flag,displayFormat,string,""
Column,M_consort_flag,displayName,string,"""M_consort_flag"""
Column,M_consort_flag,displayVisible,boolean,true
Column,M_consort_flag,joins,object,""
Column,M_fail_flag,displayChoicesList,object,""
Column,M_fail_flag,displayFormat,string,""
Column,M_fail_flag,displayName,string,"""M_fail_flag"""
Column,M_fail_flag,displayVisible,boolean,true
Column,M_fail_flag,joins,object,""
Column,M_fem_swelling,displayChoicesList,object,""
Column,M_fem_swelling,displayFormat,string,""
Column,M_fem_swelling,displayName,string,"""M_fem_swelling"""
Column,M_fem_swelling,displayVisible,boolean,true
Column,M_fem_swelling,joins,object,""
Column,M_female,displayChoicesList,object,""
Column,M_female,displayFormat,string,""
Column,M_female,displayName,string,"""M_female"""
Column,M_female,displayVisible,boolean,true
Column,M_female,joins,object,""
Column,M_interference,displayChoicesList,object,""
Column,M_interference,displayFormat,string,""
Column,M_interference,displayName,string,"""M_interference"""
Column,M_interference,displayVisible,boolean,true
Column,M_interference,joins,object,""
Column,M_male,displayChoicesList,object,""
Column,M_male,displayFormat,string,""
Column,M_male,displayName,string,"""M_male"""
Column,M_male,displayVisible,boolean,true
Column,M_male,joins,object,""
Column,M_mate_guard_flag,displayChoicesList,object,""
Column,M_mate_guard_flag,displayFormat,string,""
Column,M_mate_guard_flag,displayName,string,"""M_mate_guard_flag"""
Column,M_mate_guard_flag,displayVisible,boolean,true
Column,M_mate_guard_flag,joins,object,""
Column,M_time,displayChoicesList,object,""
Column,M_time,displayFormat,string,""
Column,M_time,displayName,string,"""M_time"""
Column,M_time,displayVisible,boolean,true
Column,M_time,joins,object,""
FormType,default,FormType.formType,string,SURVEY
SurveyUtil,default,SurveyUtil.formId,string,mating_event
Table,default,colOrder,object,"[""M_FOL_date"",""M_FOL_B_focal_AnimID"",""M_time"",""M_male"",""M_female"",""M_fem_swelling"",""M_fail_flag"",""M_interference"",""M_comments"",""M_consort_flag"",""M_mate_guard_flag""]"
Table,default,defaultViewType,string,SPREADSHEET
Table,default,displayName,object,"""Mating Event"""
Table,default,groupByCols,object,[]
Table,default,indexCol,string,""
Table,default,sortCol,string,""
Table,default,sortOrder,string,""
TableColorRuleGroup,default,StatusColumn.ruleList,object,"[{""mValue"":""synced"",""mElementKey"":""_sync_state"",""mOperator"":""EQUAL"",""mId"":""syncStateSynced"",""mForeground"":-16777216,""mBackground"":-1},{""mValue"":""new_row"",""mElementKey"":""_sync_state"",""mOperator"":""EQUAL"",""mId"":""defaultRule_syncStateNewRow"",""mForeground"":-16777216,""mBackground"":-16711936},{""mValue"":""changed"",""mElementKey"":""_sync_state"",""mOperator"":""EQUAL"",""mId"":""defaultRule_syncStateChanged"",""mForeground"":-16777216,""mBackground"":-935891},{""mValue"":""in_conflict"",""mElementKey"":""_sync_state"",""mOperator"":""EQUAL"",""mId"":""defaultRule_syncStateInConflict"",""mForeground"":-16777216,""mBackground"":-65536},{""mValue"":""deleted"",""mElementKey"":""_sync_state"",""mOperator"":""EQUAL"",""mId"":""defaultRule_syncStateDeleted"",""mForeground"":-16777216,""mBackground"":-12303292}]"
