_partition,_aspect,_key,_type,_value
Column,OS_FOL_B_focal_AnimID,displayChoicesList,object,""
Column,OS_FOL_B_focal_AnimID,displayFormat,string,""
Column,OS_FOL_B_focal_AnimID,displayName,string,"""OS_FOL_B_focal_AnimID"""
Column,OS_FOL_B_focal_AnimID,displayVisible,boolean,true
Column,OS_FOL_B_focal_AnimID,joins,object,""
Column,OS_FOL_date,displayChoicesList,object,""
Column,OS_FOL_date,displayFormat,string,""
Column,OS_FOL_date,displayName,string,"""OS_FOL_date"""
Column,OS_FOL_date,displayVisible,boolean,true
Column,OS_FOL_date,joins,object,""
Column,OS_OSL_local_species_name,displayChoicesList,object,""
Column,OS_OSL_local_species_name,displayFormat,string,""
Column,OS_OSL_local_species_name,displayName,string,"""OS_OSL_local_species_name"""
Column,OS_OSL_local_species_name,displayVisible,boolean,true
Column,OS_OSL_local_species_name,joins,object,""
Column,OS_comments,displayChoicesList,object,""
Column,OS_comments,displayFormat,string,""
Column,OS_comments,displayName,string,"""OS_comments"""
Column,OS_comments,displayVisible,boolean,true
Column,OS_comments,joins,object,""
Column,OS_duration,displayChoicesList,object,""
Column,OS_duration,displayFormat,string,""
Column,OS_duration,displayName,string,"""OS_duration"""
Column,OS_duration,displayVisible,boolean,true
Column,OS_duration,joins,object,""
Column,OS_local_species_name_written,displayChoicesList,object,""
Column,OS_local_species_name_written,displayFormat,string,""
Column,OS_local_species_name_written,displayName,string,"""OS_local_species_name_written"""
Column,OS_local_species_name_written,displayVisible,boolean,true
Column,OS_local_species_name_written,joins,object,""
Column,OS_time_begin,displayChoicesList,object,""
Column,OS_time_begin,displayFormat,string,""
Column,OS_time_begin,displayName,string,"""OS_time_begin"""
Column,OS_time_begin,displayVisible,boolean,true
Column,OS_time_begin,joins,object,""
Column,OS_time_end,displayChoicesList,object,""
Column,OS_time_end,displayFormat,string,""
Column,OS_time_end,displayName,string,"""OS_time_end"""
Column,OS_time_end,displayVisible,boolean,true
Column,OS_time_end,joins,object,""
FormType,default,FormType.formType,string,SURVEY
SurveyUtil,default,SurveyUtil.formId,string,other_species
Table,default,colOrder,object,"[""OS_FOL_date"",""OS_FOL_B_focal_AnimID"",""OS_time_begin"",""OS_time_end"",""OS_OSL_local_species_name"",""OS_local_species_name_written"",""OS_duration"",""OS_comments""]"
Table,default,defaultViewType,string,SPREADSHEET
Table,default,displayName,object,"""Other Species"""
Table,default,groupByCols,object,[]
Table,default,indexCol,string,""
Table,default,sortCol,string,""
Table,default,sortOrder,string,""
TableColorRuleGroup,default,StatusColumn.ruleList,object,"[{""mValue"":""synced"",""mElementKey"":""_sync_state"",""mOperator"":""EQUAL"",""mId"":""syncStateSynced"",""mForeground"":-16777216,""mBackground"":-1},{""mValue"":""new_row"",""mElementKey"":""_sync_state"",""mOperator"":""EQUAL"",""mId"":""defaultRule_syncStateNewRow"",""mForeground"":-16777216,""mBackground"":-16711936},{""mValue"":""changed"",""mElementKey"":""_sync_state"",""mOperator"":""EQUAL"",""mId"":""defaultRule_syncStateChanged"",""mForeground"":-16777216,""mBackground"":-935891},{""mValue"":""in_conflict"",""mElementKey"":""_sync_state"",""mOperator"":""EQUAL"",""mId"":""defaultRule_syncStateInConflict"",""mForeground"":-16777216,""mBackground"":-65536},{""mValue"":""deleted"",""mElementKey"":""_sync_state"",""mOperator"":""EQUAL"",""mId"":""defaultRule_syncStateDeleted"",""mForeground"":-16777216,""mBackground"":-12303292}]"
