_element_key,_element_name,_element_type,_list_child_element_keys
catalog_id,catalog_id,string,[]
climate_zone,climate_zone,string,[]
equipment_type,equipment_type,string,[]
freezer_gross_volume,freezer_gross_volume,number,[]
freezer_net_volume,freezer_net_volume,number,[]
manufacturer,manufacturer,string,[]
model_id,model_id,string,[]
power_source,power_source,array,"[""power_source_items""]"
power_source_items,items,string,[]
refrigerator_gross_volume,refrigerator_gross_volume,number,[]
refrigerator_net_volume,refrigerator_net_volume,number,[]
refrigerator_picture,refrigerator_picture,mimeUri,"[""refrigerator_picture_contentType"",""refrigerator_picture_uriFragment""]"
refrigerator_picture_contentType,contentType,mimeType,[]
refrigerator_picture_uriFragment,uriFragment,rowpath,[]
