_element_key,_element_name,_element_type,_list_child_element_keys
adminRegion,adminRegion,string,[]
facility_row_id,facility_row_id,string,[]
model_other,model_other,string,[]
models_common,models_common,string,[]
power_source,power_source,string,[]
reason_not_working,reason_not_working,string,[]
refrigerator_id,refrigerator_id,string,[]
regionLevel1,regionLevel1,string,[]
regionLevel2,regionLevel2,string,[]
tracking_id,tracking_id,string,[]
utilization,utilization,string,[]
voltage_regulator,voltage_regulator,string,[]
working_status,working_status,string,[]
year,year,number,[]
