_element_key,_element_name,_element_type,_list_child_element_keys
address,address,string,[]
age,age,number,[]
beneficiary_code,beneficiary_code,string,[]
birth_date,birth_date,date,[]
city,city,string,[]
date_screened,date_screened,dateTime,[]
distribution_site,distribution_site,string,[]
district,district,string,[]
first_last_name,first_last_name,string,[]
first_name,first_name,string,[]
gender,gender,string,[]
hh_size,hh_size,string,[]
id_number,id_number,number,[]
id_type,id_type,string,[]
last_name,last_name,string,[]
mobile_provider,mobile_provider,string,[]
sub_village,sub_village,string,[]
telephone,telephone,string,[]
village,village,string,[]
