_partition,_aspect,_key,_type,_value
Column,Care_adherence_edu,displayChoicesList,array,"[{""choice_list_name"":""Care_adherence_edu_grid_values"",""data_value"":""Yes"",""display"":{""text"":""Yes""},""_row_num"":16},{""choice_list_name"":""Care_adherence_edu_grid_values"",""data_value"":""No"",""display"":{""text"":""No""},""_row_num"":17}]"
Column,Care_adherence_edu,displayName,object,"""Care_adherence_edu"""
Column,Care_adherence_edu,displayVisible,boolean,true
Column,Care_adherence_edu_image0,displayName,object,"""Care_adherence_edu_image0"""
Column,Care_adherence_edu_image0,displayVisible,boolean,true
Column,Care_adherence_edu_image0_contentType,displayName,object,"""contentType"""
Column,Care_adherence_edu_image0_contentType,displayVisible,boolean,true
Column,Care_adherence_edu_image0_uriFragment,displayName,object,"""uriFragment"""
Column,Care_adherence_edu_image0_uriFragment,displayVisible,boolean,true
Column,Clinical_serv_ref_for,displayChoicesList,array,"[{""choice_list_name"":""Clinical_serv_ref_for_grid_values"",""data_value"":""TB"",""display"":{""text"":""TB""},""_row_num"":18},{""choice_list_name"":""Clinical_serv_ref_for_grid_values"",""data_value"":""PMTCT"",""display"":{""text"":""PMTCT""},""_row_num"":19},{""choice_list_name"":""Clinical_serv_ref_for_grid_values"",""data_value"":""FP"",""display"":{""text"":""FP""},""_row_num"":20},{""choice_list_name"":""Clinical_serv_ref_for_grid_values"",""data_value"":""Youth"",""display"":{""text"":""Youth""},""_row_num"":21},{""choice_list_name"":""Clinical_serv_ref_for_grid_values"",""data_value"":""PS"",""display"":{""text"":""PS""},""_row_num"":22},{""choice_list_name"":""Clinical_serv_ref_for_grid_values"",""data_value"":""EPI"",""display"":{""text"":""EPI""},""_row_num"":23},{""choice_list_name"":""Clinical_serv_ref_for_grid_values"",""data_value"":""Inpatient"",""display"":{""text"":""Inpatient""},""_row_num"":24},{""choice_list_name"":""Clinical_serv_ref_for_grid_values"",""data_value"":""other"",""display"":{""text"":""other""},""_row_num"":25}]"
Column,Clinical_serv_ref_for,displayName,object,"""Clinical_serv_ref_for"""
Column,Clinical_serv_ref_for,displayVisible,boolean,true
Column,Clinical_serv_ref_for_image0,displayName,object,"""Clinical_serv_ref_for_image0"""
Column,Clinical_serv_ref_for_image0,displayVisible,boolean,true
Column,Clinical_serv_ref_for_image0_contentType,displayName,object,"""contentType"""
Column,Clinical_serv_ref_for_image0_contentType,displayVisible,boolean,true
Column,Clinical_serv_ref_for_image0_uriFragment,displayName,object,"""uriFragment"""
Column,Clinical_serv_ref_for_image0_uriFragment,displayVisible,boolean,true
Column,Comm_serv_referred_for,displayChoicesList,array,"[{""choice_list_name"":""Comm_serv_referred_for_grid_values"",""data_value"":""HBC"",""display"":{""text"":""HBC""},""_row_num"":26},{""choice_list_name"":""Comm_serv_referred_for_grid_values"",""data_value"":""Support Groups"",""display"":{""text"":""Support Groups""},""_row_num"":27},{""choice_list_name"":""Comm_serv_referred_for_grid_values"",""data_value"":""other"",""display"":{""text"":""other""},""_row_num"":28}]"
Column,Comm_serv_referred_for,displayName,object,"""Comm_serv_referred_for"""
Column,Comm_serv_referred_for,displayVisible,boolean,true
Column,Comm_serv_referred_for_image0,displayName,object,"""Comm_serv_referred_for_image0"""
Column,Comm_serv_referred_for_image0,displayVisible,boolean,true
Column,Comm_serv_referred_for_image0_contentType,displayName,object,"""contentType"""
Column,Comm_serv_referred_for_image0_contentType,displayVisible,boolean,true
Column,Comm_serv_referred_for_image0_uriFragment,displayName,object,"""uriFragment"""
Column,Comm_serv_referred_for_image0_uriFragment,displayVisible,boolean,true
Column,Date_of_registration,displayName,object,"""Date_of_registration"""
Column,Date_of_registration,displayVisible,boolean,true
Column,Date_of_registration_image0,displayName,object,"""Date_of_registration_image0"""
Column,Date_of_registration_image0,displayVisible,boolean,true
Column,Date_of_registration_image0_contentType,displayName,object,"""contentType"""
Column,Date_of_registration_image0_contentType,displayVisible,boolean,true
Column,Date_of_registration_image0_uriFragment,displayName,object,"""uriFragment"""
Column,Date_of_registration_image0_uriFragment,displayVisible,boolean,true
Column,GSM_number,displayName,object,"""GSM_number"""
Column,GSM_number,displayVisible,boolean,true
Column,GSM_number_image0,displayName,object,"""GSM_number_image0"""
Column,GSM_number_image0,displayVisible,boolean,true
Column,GSM_number_image0_contentType,displayName,object,"""contentType"""
Column,GSM_number_image0_contentType,displayVisible,boolean,true
Column,GSM_number_image0_uriFragment,displayName,object,"""uriFragment"""
Column,GSM_number_image0_uriFragment,displayVisible,boolean,true
Column,Home_village,displayName,object,"""Home_village"""
Column,Home_village,displayVisible,boolean,true
Column,Home_village_image0,displayName,object,"""Home_village_image0"""
Column,Home_village_image0,displayVisible,boolean,true
Column,Home_village_image0_contentType,displayName,object,"""contentType"""
Column,Home_village_image0_contentType,displayVisible,boolean,true
Column,Home_village_image0_uriFragment,displayName,object,"""uriFragment"""
Column,Home_village_image0_uriFragment,displayVisible,boolean,true
Column,Name_ANC_or_TB_clinic,displayName,object,"""Name_ANC_or_TB_clinic"""
Column,Name_ANC_or_TB_clinic,displayVisible,boolean,true
Column,Name_ANC_or_TB_clinic_image0,displayName,object,"""Name_ANC_or_TB_clinic_image0"""
Column,Name_ANC_or_TB_clinic_image0,displayVisible,boolean,true
Column,Name_ANC_or_TB_clinic_image0_contentType,displayName,object,"""contentType"""
Column,Name_ANC_or_TB_clinic_image0_contentType,displayVisible,boolean,true
Column,Name_ANC_or_TB_clinic_image0_uriFragment,displayName,object,"""uriFragment"""
Column,Name_ANC_or_TB_clinic_image0_uriFragment,displayVisible,boolean,true
Column,Name_HU_transf_from,displayName,object,"""Name_HU_transf_from"""
Column,Name_HU_transf_from,displayVisible,boolean,true
Column,Name_HU_transf_from_image0,displayName,object,"""Name_HU_transf_from_image0"""
Column,Name_HU_transf_from_image0,displayVisible,boolean,true
Column,Name_HU_transf_from_image0_contentType,displayName,object,"""contentType"""
Column,Name_HU_transf_from_image0_contentType,displayVisible,boolean,true
Column,Name_HU_transf_from_image0_uriFragment,displayName,object,"""uriFragment"""
Column,Name_HU_transf_from_image0_uriFragment,displayVisible,boolean,true
Column,Other_clinical_serv,displayName,object,"""Other_clinical_serv"""
Column,Other_clinical_serv,displayVisible,boolean,true
Column,Other_clinical_serv_image0,displayName,object,"""Other_clinical_serv_image0"""
Column,Other_clinical_serv_image0,displayVisible,boolean,true
Column,Other_clinical_serv_image0_contentType,displayName,object,"""contentType"""
Column,Other_clinical_serv_image0_contentType,displayVisible,boolean,true
Column,Other_clinical_serv_image0_uriFragment,displayName,object,"""uriFragment"""
Column,Other_clinical_serv_image0_uriFragment,displayVisible,boolean,true
Column,Other_comm_serv,displayName,object,"""Other_comm_serv"""
Column,Other_comm_serv,displayVisible,boolean,true
Column,Other_comm_serv_image0,displayName,object,"""Other_comm_serv_image0"""
Column,Other_comm_serv_image0,displayVisible,boolean,true
Column,Other_comm_serv_image0_contentType,displayName,object,"""contentType"""
Column,Other_comm_serv_image0_contentType,displayVisible,boolean,true
Column,Other_comm_serv_image0_uriFragment,displayName,object,"""uriFragment"""
Column,Other_comm_serv_image0_uriFragment,displayVisible,boolean,true
Column,Patient_DOB,displayName,object,"""Patient_DOB"""
Column,Patient_DOB,displayVisible,boolean,true
Column,Patient_DOB_image0,displayName,object,"""Patient_DOB_image0"""
Column,Patient_DOB_image0,displayVisible,boolean,true
Column,Patient_DOB_image0_contentType,displayName,object,"""contentType"""
Column,Patient_DOB_image0_contentType,displayVisible,boolean,true
Column,Patient_DOB_image0_uriFragment,displayName,object,"""uriFragment"""
Column,Patient_DOB_image0_uriFragment,displayVisible,boolean,true
Column,Patient_ID,displayName,object,"""Patient_ID"""
Column,Patient_ID,displayVisible,boolean,true
Column,Patient_ID_image0,displayName,object,"""Patient_ID_image0"""
Column,Patient_ID_image0,displayVisible,boolean,true
Column,Patient_ID_image0_contentType,displayName,object,"""contentType"""
Column,Patient_ID_image0_contentType,displayVisible,boolean,true
Column,Patient_ID_image0_uriFragment,displayName,object,"""uriFragment"""
Column,Patient_ID_image0_uriFragment,displayVisible,boolean,true
Column,Patient_name,displayName,object,"""Patient_name"""
Column,Patient_name,displayVisible,boolean,true
Column,Patient_name_image0,displayName,object,"""Patient_name_image0"""
Column,Patient_name_image0,displayVisible,boolean,true
Column,Patient_name_image0_contentType,displayName,object,"""contentType"""
Column,Patient_name_image0_contentType,displayVisible,boolean,true
Column,Patient_name_image0_uriFragment,displayName,object,"""uriFragment"""
Column,Patient_name_image0_uriFragment,displayVisible,boolean,true
Column,Patient_sex,displayChoicesList,array,"[{""choice_list_name"":""Patient_sex_grid_values"",""data_value"":""Male"",""display"":{""text"":""Male""},""_row_num"":2},{""choice_list_name"":""Patient_sex_grid_values"",""data_value"":""Female"",""display"":{""text"":""Female""},""_row_num"":3}]"
Column,Patient_sex,displayName,object,"""Patient_sex"""
Column,Patient_sex,displayVisible,boolean,true
Column,Patient_sex_image0,displayName,object,"""Patient_sex_image0"""
Column,Patient_sex_image0,displayVisible,boolean,true
Column,Patient_sex_image0_contentType,displayName,object,"""contentType"""
Column,Patient_sex_image0_contentType,displayVisible,boolean,true
Column,Patient_sex_image0_uriFragment,displayName,object,"""uriFragment"""
Column,Patient_sex_image0_uriFragment,displayVisible,boolean,true
Column,Referred_from,displayChoicesList,array,"[{""choice_list_name"":""Referred_from_grid_values"",""data_value"":""HCT-C"",""display"":{""text"":""HCT-C""},""_row_num"":4},{""choice_list_name"":""Referred_from_grid_values"",""data_value"":""ANC"",""display"":{""text"":""ANC""},""_row_num"":5},{""choice_list_name"":""Referred_from_grid_values"",""data_value"":""TB"",""display"":{""text"":""TB""},""_row_num"":6},{""choice_list_name"":""Referred_from_grid_values"",""data_value"":""Hos."",""display"":{""text"":""Hos.""},""_row_num"":7},{""choice_list_name"":""Referred_from_grid_values"",""data_value"":""HU"",""display"":{""text"":""HU""},""_row_num"":8},{""choice_list_name"":""Referred_from_grid_values"",""data_value"":""other"",""display"":{""text"":""other""},""_row_num"":9}]"
Column,Referred_from,displayName,object,"""Referred_from"""
Column,Referred_from,displayVisible,boolean,true
Column,Referred_from_image0,displayName,object,"""Referred_from_image0"""
Column,Referred_from_image0,displayVisible,boolean,true
Column,Referred_from_image0_contentType,displayName,object,"""contentType"""
Column,Referred_from_image0_contentType,displayVisible,boolean,true
Column,Referred_from_image0_uriFragment,displayName,object,"""uriFragment"""
Column,Referred_from_image0_uriFragment,displayVisible,boolean,true
Column,Referred_from_other,displayName,object,"""Referred_from_other"""
Column,Referred_from_other,displayVisible,boolean,true
Column,Referred_from_other_image0,displayName,object,"""Referred_from_other_image0"""
Column,Referred_from_other_image0,displayVisible,boolean,true
Column,Referred_from_other_image0_contentType,displayName,object,"""contentType"""
Column,Referred_from_other_image0_contentType,displayVisible,boolean,true
Column,Referred_from_other_image0_uriFragment,displayName,object,"""uriFragment"""
Column,Referred_from_other_image0_uriFragment,displayVisible,boolean,true
Column,STI_screen,displayChoicesList,array,"[{""choice_list_name"":""STI_screen_grid_values"",""data_value"":""Yes"",""display"":{""text"":""Yes""},""_row_num"":14},{""choice_list_name"":""STI_screen_grid_values"",""data_value"":""No"",""display"":{""text"":""No""},""_row_num"":15}]"
Column,STI_screen,displayName,object,"""STI_screen"""
Column,STI_screen,displayVisible,boolean,true
Column,STI_screen_image0,displayName,object,"""STI_screen_image0"""
Column,STI_screen_image0,displayVisible,boolean,true
Column,STI_screen_image0_contentType,displayName,object,"""contentType"""
Column,STI_screen_image0_contentType,displayVisible,boolean,true
