_partition,_aspect,_key,_type,_value
Column,CTZ_treatment_status,displayChoicesList,object,"[{""choice_list_name"":""CTZ_treatment_status_grid_values"",""data_value"":""started"",""display"":{""text"":""started""},""_row_num"":15},{""choice_list_name"":""CTZ_treatment_status_grid_values"",""data_value"":""ongoing"",""display"":{""text"":""ongoing""},""_row_num"":16},{""choice_list_name"":""CTZ_treatment_status_grid_values"",""data_value"":""ended"",""display"":{""text"":""ended""},""_row_num"":17}]"
Column,INH_treatment_status,displayChoicesList,object,"[{""choice_list_name"":""INH_treatment_status_grid_values"",""data_value"":""started"",""display"":{""text"":""started""},""_row_num"":12},{""choice_list_name"":""INH_treatment_status_grid_values"",""data_value"":""ongoing"",""display"":{""text"":""ongoing""},""_row_num"":13},{""choice_list_name"":""INH_treatment_status_grid_values"",""data_value"":""ended"",""display"":{""text"":""ended""},""_row_num"":14}]"
Column,TB_treatment_status,displayChoicesList,object,"[{""choice_list_name"":""TB_treatment_status_grid_values"",""data_value"":""started"",""display"":{""text"":""started""},""_row_num"":9},{""choice_list_name"":""TB_treatment_status_grid_values"",""data_value"":""ongoing"",""display"":{""text"":""ongoing""},""_row_num"":10},{""choice_list_name"":""TB_treatment_status_grid_values"",""data_value"":""ended"",""display"":{""text"":""ended""},""_row_num"":11}]"
Column,WHO_stage,displayChoicesList,object,"[{""choice_list_name"":""WHO_stage_grid_values"",""data_value"":""I"",""display"":{""text"":""I""},""_row_num"":5},{""choice_list_name"":""WHO_stage_grid_values"",""data_value"":""II"",""display"":{""text"":""II""},""_row_num"":6},{""choice_list_name"":""WHO_stage_grid_values"",""data_value"":""III"",""display"":{""text"":""III""},""_row_num"":7},{""choice_list_name"":""WHO_stage_grid_values"",""data_value"":""IV"",""display"":{""text"":""IV""},""_row_num"":8}]"
Column,permanent_status,displayChoicesList,object,"[{""choice_list_name"":""permanent_status_grid_values"",""data_value"":""Began ARV"",""display"":{""text"":""Began ARV""},""_row_num"":18},{""choice_list_name"":""permanent_status_grid_values"",""data_value"":""Lost"",""display"":{""text"":""Lost""},""_row_num"":19},{""choice_list_name"":""permanent_status_grid_values"",""data_value"":""Died"",""display"":{""text"":""Died""},""_row_num"":20},{""choice_list_name"":""permanent_status_grid_values"",""data_value"":""Transferred"",""display"":{""text"":""Transferred""},""_row_num"":21}]"
Column,screen_for_tb,displayChoicesList,object,"[{""choice_list_name"":""screen_for_tb_grid_values"",""data_value"":""yes"",""display"":{""text"":""yes""},""_row_num"":2},{""choice_list_name"":""screen_for_tb_grid_values"",""data_value"":""no"",""display"":{""text"":""no""},""_row_num"":3},{""choice_list_name"":""screen_for_tb_grid_values"",""data_value"":""n/a"",""display"":{""text"":""n/a""},""_row_num"":4}]"
FormType,default,FormType.formType,string,SURVEY
SurveyUtil,default,SurveyUtil.formId,string,scan_HIV_Visit_Record
Table,default,colOrder,array,"[""scan_output_directory"",""date_of_record_image0_uriFragment"",""date_of_record_image0_contentType"",""date_of_record"",""patient_ID_image0_uriFragment"",""patient_ID_image0_contentType"",""patient_ID"",""patient_name_image0_uriFragment"",""patient_name_image0_contentType"",""patient_name"",""GSM_num_image0_uriFragment"",""GSM_num_image0_contentType"",""GSM_num"",""CD4_count_image0_uriFragment"",""CD4_count_image0_contentType"",""CD4_count"",""CD4_percent_image0_uriFragment"",""CD4_percent_image0_contentType"",""CD4_percent"",""screen_for_tb_image0_uriFragment"",""screen_for_tb_image0_contentType"",""screen_for_tb"",""WHO_stage_image0_uriFragment"",""WHO_stage_image0_contentType"",""WHO_stage"",""date_next_visit_image0_uriFragment"",""date_next_visit_image0_contentType"",""date_next_visit"",""TB_treatment_status_image0_uriFragment"",""TB_treatment_status_image0_contentType"",""TB_treatment_status"",""INH_treatment_status_image0_uriFragment"",""INH_treatment_status_image0_contentType"",""INH_treatment_status"",""CTZ_treatment_status_image0_uriFragment"",""CTZ_treatment_status_image0_contentType"",""CTZ_treatment_status"",""permanent_status_image0_uriFragment"",""permanent_status_image0_contentType"",""permanent_status"",""Name_HU_transferred_to_image0_uriFragment"",""Name_HU_transferred_to_image0_contentType"",""Name_HU_transferred_to""]"
Table,default,defaultViewType,string,SPREADSHEET
Table,default,displayName,object,"""scan_HIV_Visit_Record"""
