_partition,_aspect,_key,_type,_value
Column,given_addtlvacc_1,displayChoicesList,object,"[{""choice_list_name"":""given_addtlvacc_1_grid_values"",""data_value"":""yes"",""display"":{""text"":""yes""},""_row_num"":5}]"
Column,given_addtlvacc_2,displayChoicesList,object,"[{""choice_list_name"":""given_addtlvacc_2_grid_values"",""data_value"":""yes"",""display"":{""text"":""yes""},""_row_num"":6}]"
Column,given_bcg,displayChoicesList,object,"[{""choice_list_name"":""given_bcg_grid_values"",""data_value"":""yes"",""display"":{""text"":""yes""},""_row_num"":2}]"
Column,given_hepb0,displayChoicesList,object,"[{""choice_list_name"":""given_hepb0_grid_values"",""data_value"":""yes"",""display"":{""text"":""yes""},""_row_num"":4}]"
Column,given_opv0,displayChoicesList,object,"[{""choice_list_name"":""given_opv0_grid_values"",""data_value"":""yes"",""display"":{""text"":""yes""},""_row_num"":3}]"
FormType,default,FormType.formType,string,SURVEY
SurveyUtil,default,SurveyUtil.formId,string,scan_childvacc_822a_pg2
Table,default,colOrder,array,"[""scan_output_directory"",""opv0_initials_image0_uriFragment"",""opv0_initials_image0_contentType"",""opv0_initials"",""bcg_initials_image0_uriFragment"",""bcg_initials_image0_contentType"",""bcg_initials"",""hepb0_initials_image0_uriFragment"",""hepb0_initials_image0_contentType"",""hepb0_initials"",""addtlvacc_1_name_image0_uriFragment"",""addtlvacc_1_name_image0_contentType"",""addtlvacc_1_name"",""addtlvacc_2_name_image0_uriFragment"",""addtlvacc_2_name_image0_contentType"",""addtlvacc_2_name"",""addtlvacc_1_initials_image0_uriFragment"",""addtlvacc_1_initials_image0_contentType"",""addtlvacc_1_initials"",""addtlvacc_2_initials_image0_uriFragment"",""addtlvacc_2_initials_image0_contentType"",""addtlvacc_2_initials"",""addtlvacc_1_dategiven_image0_uriFragment"",""addtlvacc_1_dategiven_image0_contentType"",""addtlvacc_1_dategiven"",""addtlvacc_2_dategiven_image0_uriFragment"",""addtlvacc_2_dategiven_image0_contentType"",""addtlvacc_2_dategiven"",""given_bcg_image0_uriFragment"",""given_bcg_image0_contentType"",""given_bcg"",""given_opv0_image0_uriFragment"",""given_opv0_image0_contentType"",""given_opv0"",""given_hepb0_image0_uriFragment"",""given_hepb0_image0_contentType"",""given_hepb0"",""given_addtlvacc_1_image0_uriFragment"",""given_addtlvacc_1_image0_contentType"",""given_addtlvacc_1"",""nextvaccination_at6weeks_image0_uriFragment"",""nextvaccination_at6weeks_image0_contentType"",""nextvaccination_at6weeks"",""bcg_dategiven_image0_uriFragment"",""bcg_dategiven_image0_contentType"",""bcg_dategiven"",""opv0_dategiven_image0_uriFragment"",""opv0_dategiven_image0_contentType"",""opv0_dategiven"",""hepb0_dategiven_image0_uriFragment"",""hepb0_dategiven_image0_contentType"",""hepb0_dategiven"",""given_addtlvacc_2_image0_uriFragment"",""given_addtlvacc_2_image0_contentType"",""given_addtlvacc_2"",""nurse_notes_image0_uriFragment"",""nurse_notes_image0_contentType"",""nurse_notes"",""qr_patientcode_image0_uriFragment"",""qr_patientcode_image0_contentType"",""qr_patientcode""]"
Table,default,defaultViewType,string,SPREADSHEET
Table,default,displayName,object,"""scan_childvacc_822a_pg2"""
