_partition,_aspect,_key,_type,_value
Column,addtlvacc_1_dategiven,displayName,object,"""addtlvacc_1_dategiven"""
Column,addtlvacc_1_dategiven,displayVisible,boolean,true
Column,addtlvacc_1_dategiven_image0,displayName,object,"""addtlvacc_1_dategiven_image0"""
Column,addtlvacc_1_dategiven_image0,displayVisible,boolean,true
Column,addtlvacc_1_dategiven_image0_contentType,displayName,object,"""contentType"""
Column,addtlvacc_1_dategiven_image0_contentType,displayVisible,boolean,true
Column,addtlvacc_1_dategiven_image0_uriFragment,displayName,object,"""uriFragment"""
Column,addtlvacc_1_dategiven_image0_uriFragment,displayVisible,boolean,true
Column,addtlvacc_1_initials,displayName,object,"""addtlvacc_1_initials"""
Column,addtlvacc_1_initials,displayVisible,boolean,true
Column,addtlvacc_1_initials_image0,displayName,object,"""addtlvacc_1_initials_image0"""
Column,addtlvacc_1_initials_image0,displayVisible,boolean,true
Column,addtlvacc_1_initials_image0_contentType,displayName,object,"""contentType"""
Column,addtlvacc_1_initials_image0_contentType,displayVisible,boolean,true
Column,addtlvacc_1_initials_image0_uriFragment,displayName,object,"""uriFragment"""
Column,addtlvacc_1_initials_image0_uriFragment,displayVisible,boolean,true
Column,addtlvacc_1_name,displayName,object,"""addtlvacc_1_name"""
Column,addtlvacc_1_name,displayVisible,boolean,true
Column,addtlvacc_1_name_image0,displayName,object,"""addtlvacc_1_name_image0"""
Column,addtlvacc_1_name_image0,displayVisible,boolean,true
Column,addtlvacc_1_name_image0_contentType,displayName,object,"""contentType"""
Column,addtlvacc_1_name_image0_contentType,displayVisible,boolean,true
Column,addtlvacc_1_name_image0_uriFragment,displayName,object,"""uriFragment"""
Column,addtlvacc_1_name_image0_uriFragment,displayVisible,boolean,true
Column,addtlvacc_2_dategiven,displayName,object,"""addtlvacc_2_dategiven"""
Column,addtlvacc_2_dategiven,displayVisible,boolean,true
Column,addtlvacc_2_dategiven_image0,displayName,object,"""addtlvacc_2_dategiven_image0"""
Column,addtlvacc_2_dategiven_image0,displayVisible,boolean,true
Column,addtlvacc_2_dategiven_image0_contentType,displayName,object,"""contentType"""
Column,addtlvacc_2_dategiven_image0_contentType,displayVisible,boolean,true
Column,addtlvacc_2_dategiven_image0_uriFragment,displayName,object,"""uriFragment"""
Column,addtlvacc_2_dategiven_image0_uriFragment,displayVisible,boolean,true
Column,addtlvacc_2_initials,displayName,object,"""addtlvacc_2_initials"""
Column,addtlvacc_2_initials,displayVisible,boolean,true
Column,addtlvacc_2_initials_image0,displayName,object,"""addtlvacc_2_initials_image0"""
Column,addtlvacc_2_initials_image0,displayVisible,boolean,true
Column,addtlvacc_2_initials_image0_contentType,displayName,object,"""contentType"""
Column,addtlvacc_2_initials_image0_contentType,displayVisible,boolean,true
Column,addtlvacc_2_initials_image0_uriFragment,displayName,object,"""uriFragment"""
Column,addtlvacc_2_initials_image0_uriFragment,displayVisible,boolean,true
Column,addtlvacc_2_name,displayName,object,"""addtlvacc_2_name"""
Column,addtlvacc_2_name,displayVisible,boolean,true
Column,addtlvacc_2_name_image0,displayName,object,"""addtlvacc_2_name_image0"""
Column,addtlvacc_2_name_image0,displayVisible,boolean,true
Column,addtlvacc_2_name_image0_contentType,displayName,object,"""contentType"""
Column,addtlvacc_2_name_image0_contentType,displayVisible,boolean,true
Column,addtlvacc_2_name_image0_uriFragment,displayName,object,"""uriFragment"""
Column,addtlvacc_2_name_image0_uriFragment,displayVisible,boolean,true
Column,given_addtlvacc_1,displayChoicesList,array,"[{""choice_list_name"":""given_addtlvacc_1_grid_values"",""data_value"":""yes"",""display"":{""text"":""yes""},""_row_num"":6}]"
Column,given_addtlvacc_1,displayName,object,"""given_addtlvacc_1"""
Column,given_addtlvacc_1,displayVisible,boolean,true
Column,given_addtlvacc_1_image0,displayName,object,"""given_addtlvacc_1_image0"""
Column,given_addtlvacc_1_image0,displayVisible,boolean,true
Column,given_addtlvacc_1_image0_contentType,displayName,object,"""contentType"""
Column,given_addtlvacc_1_image0_contentType,displayVisible,boolean,true
Column,given_addtlvacc_1_image0_uriFragment,displayName,object,"""uriFragment"""
Column,given_addtlvacc_1_image0_uriFragment,displayVisible,boolean,true
Column,given_addtlvacc_2,displayChoicesList,array,"[{""choice_list_name"":""given_addtlvacc_2_grid_values"",""data_value"":""yes"",""display"":{""text"":""yes""},""_row_num"":7}]"
Column,given_addtlvacc_2,displayName,object,"""given_addtlvacc_2"""
Column,given_addtlvacc_2,displayVisible,boolean,true
Column,given_addtlvacc_2_image0,displayName,object,"""given_addtlvacc_2_image0"""
Column,given_addtlvacc_2_image0,displayVisible,boolean,true
Column,given_addtlvacc_2_image0_contentType,displayName,object,"""contentType"""
Column,given_addtlvacc_2_image0_contentType,displayVisible,boolean,true
Column,given_addtlvacc_2_image0_uriFragment,displayName,object,"""uriFragment"""
Column,given_addtlvacc_2_image0_uriFragment,displayVisible,boolean,true
Column,given_opv2,displayChoicesList,array,"[{""choice_list_name"":""given_opv2_grid_values"",""data_value"":""yes"",""display"":{""text"":""yes""},""_row_num"":2}]"
Column,given_opv2,displayName,object,"""given_opv2"""
Column,given_opv2,displayVisible,boolean,true
Column,given_opv2_image0,displayName,object,"""given_opv2_image0"""
Column,given_opv2_image0,displayVisible,boolean,true
Column,given_opv2_image0_contentType,displayName,object,"""contentType"""
Column,given_opv2_image0_contentType,displayVisible,boolean,true
Column,given_opv2_image0_uriFragment,displayName,object,"""uriFragment"""
Column,given_opv2_image0_uriFragment,displayVisible,boolean,true
Column,given_pcv2,displayChoicesList,array,"[{""choice_list_name"":""given_pcv2_grid_values"",""data_value"":""yes"",""display"":{""text"":""yes""},""_row_num"":4}]"
Column,given_pcv2,displayName,object,"""given_pcv2"""
Column,given_pcv2,displayVisible,boolean,true
Column,given_pcv2_image0,displayName,object,"""given_pcv2_image0"""
Column,given_pcv2_image0,displayVisible,boolean,true
Column,given_pcv2_image0_contentType,displayName,object,"""contentType"""
Column,given_pcv2_image0_contentType,displayVisible,boolean,true
Column,given_pcv2_image0_uriFragment,displayName,object,"""uriFragment"""
Column,given_pcv2_image0_uriFragment,displayVisible,boolean,true
Column,given_penta2,displayChoicesList,array,"[{""choice_list_name"":""given_penta2_grid_values"",""data_value"":""yes"",""display"":{""text"":""yes""},""_row_num"":3}]"
Column,given_penta2,displayName,object,"""given_penta2"""
Column,given_penta2,displayVisible,boolean,true
Column,given_penta2_image0,displayName,object,"""given_penta2_image0"""
Column,given_penta2_image0,displayVisible,boolean,true
Column,given_penta2_image0_contentType,displayName,object,"""contentType"""
Column,given_penta2_image0_contentType,displayVisible,boolean,true
Column,given_penta2_image0_uriFragment,displayName,object,"""uriFragment"""
Column,given_penta2_image0_uriFragment,displayVisible,boolean,true
Column,given_rota2,displayChoicesList,array,"[{""choice_list_name"":""given_rota2_grid_values"",""data_value"":""yes"",""display"":{""text"":""yes""},""_row_num"":5}]"
Column,given_rota2,displayName,object,"""given_rota2"""
Column,given_rota2,displayVisible,boolean,true
Column,given_rota2_image0,displayName,object,"""given_rota2_image0"""
Column,given_rota2_image0,displayVisible,boolean,true
Column,given_rota2_image0_contentType,displayName,object,"""contentType"""
Column,given_rota2_image0_contentType,displayVisible,boolean,true
Column,given_rota2_image0_uriFragment,displayName,object,"""uriFragment"""
Column,given_rota2_image0_uriFragment,displayVisible,boolean,true
Column,nextvaccination_at14weeks,displayName,object,"""nextvaccination_at14weeks"""
Column,nextvaccination_at14weeks,displayVisible,boolean,true
Column,nextvaccination_at14weeks_image0,displayName,object,"""nextvaccination_at14weeks_image0"""
Column,nextvaccination_at14weeks_image0,displayVisible,boolean,true
Column,nextvaccination_at14weeks_image0_contentType,displayName,object,"""contentType"""
Column,nextvaccination_at14weeks_image0_contentType,displayVisible,boolean,true
Column,nextvaccination_at14weeks_image0_uriFragment,displayName,object,"""uriFragment"""
Column,nextvaccination_at14weeks_image0_uriFragment,displayVisible,boolean,true
Column,nurse_notes,displayName,object,"""nurse_notes"""
Column,nurse_notes,displayVisible,boolean,true
Column,nurse_notes_image0,displayName,object,"""nurse_notes_image0"""
Column,nurse_notes_image0,displayVisible,boolean,true
Column,nurse_notes_image0_contentType,displayName,object,"""contentType"""
Column,nurse_notes_image0_contentType,displayVisible,boolean,true
Column,nurse_notes_image0_uriFragment,displayName,object,"""uriFragment"""
Column,nurse_notes_image0_uriFragment,displayVisible,boolean,true
Column,opv2_dategiven,displayName,object,"""opv2_dategiven"""
Column,opv2_dategiven,displayVisible,boolean,true
Column,opv2_dategiven_image0,displayName,object,"""opv2_dategiven_image0"""
Column,opv2_dategiven_image0,displayVisible,boolean,true
Column,opv2_dategiven_image0_contentType,displayName,object,"""contentType"""
Column,opv2_dategiven_image0_contentType,displayVisible,boolean,true
Column,opv2_dategiven_image0_uriFragment,displayName,object,"""uriFragment"""
Column,opv2_dategiven_image0_uriFragment,displayVisible,boolean,true
Column,opv2_initials,displayName,object,"""opv2_initials"""
Column,opv2_initials,displayVisible,boolean,true
Column,opv2_initials_image0,displayName,object,"""opv2_initials_image0"""
Column,opv2_initials_image0,displayVisible,boolean,true
Column,opv2_initials_image0_contentType,displayName,object,"""contentType"""
Column,opv2_initials_image0_contentType,displayVisible,boolean,true
Column,opv2_initials_image0_uriFragment,displayName,object,"""uriFragment"""
Column,opv2_initials_image0_uriFragment,displayVisible,boolean,true
Column,pcv2_dategiven,displayName,object,"""pcv2_dategiven"""
Column,pcv2_dategiven,displayVisible,boolean,true
Column,pcv2_dategiven_image0,displayName,object,"""pcv2_dategiven_image0"""
Column,pcv2_dategiven_image0,displayVisible,boolean,true
Column,pcv2_dategiven_image0_contentType,displayName,object,"""contentType"""
Column,pcv2_dategiven_image0_contentType,displayVisible,boolean,true
Column,pcv2_dategiven_image0_uriFragment,displayName,object,"""uriFragment"""
Column,pcv2_dategiven_image0_uriFragment,displayVisible,boolean,true
Column,pcv2_initials,displayName,object,"""pcv2_initials"""
