_element_key,_element_name,_element_type,_list_child_element_keys
bubbles1,bubbles1,integer,[]
bubbles1_image0,bubbles1_image0,mimeUri,"[""bubbles1_image0_contentType"",""bubbles1_image0_uriFragment""]"
bubbles1_image0_contentType,contentType,mimeType,[]
bubbles1_image0_uriFragment,uriFragment,rowpath,[]
checkboxes1,checkboxes1,integer,[]
checkboxes1_image0,checkboxes1_image0,mimeUri,"[""checkboxes1_image0_contentType"",""checkboxes1_image0_uriFragment""]"
checkboxes1_image0_contentType,contentType,mimeType,[]
checkboxes1_image0_uriFragment,uriFragment,rowpath,[]
raw,raw,mimeUri,"[""raw_contentType"",""raw_uriFragment""]"
raw_contentType,contentType,string,[]
raw_uriFragment,uriFragment,rowpath,[]
scan_output_directory,scan_output_directory,string,[]
