_element_key,_element_name,_element_type,_list_child_element_keys
address,address,string,[]
address_image0,address_image0,mimeUri,"[""address_image0_uriFragment"",""address_image0_contentType""]"
address_image0_contentType,contentType,string,[]
address_image0_uriFragment,uriFragment,rowpath,[]
comments,comments,string,[]
comments_image0,comments_image0,mimeUri,"[""comments_image0_uriFragment"",""comments_image0_contentType""]"
comments_image0_contentType,contentType,string,[]
comments_image0_uriFragment,uriFragment,rowpath,[]
fri_chores,fri_chores,string,[]
fri_chores_image0,fri_chores_image0,mimeUri,"[""fri_chores_image0_uriFragment"",""fri_chores_image0_contentType""]"
fri_chores_image0_contentType,contentType,string,[]
fri_chores_image0_uriFragment,uriFragment,rowpath,[]
mon_chores,mon_chores,string,[]
mon_chores_image0,mon_chores_image0,mimeUri,"[""mon_chores_image0_uriFragment"",""mon_chores_image0_contentType""]"
mon_chores_image0_contentType,contentType,string,[]
mon_chores_image0_uriFragment,uriFragment,rowpath,[]
name,name,string,[]
name_image0,name_image0,mimeUri,"[""name_image0_uriFragment"",""name_image0_contentType""]"
name_image0_contentType,contentType,string,[]
name_image0_uriFragment,uriFragment,rowpath,[]
qrcode,qrcode,string,[]
qrcode_image0,qrcode_image0,mimeUri,"[""qrcode_image0_uriFragment"",""qrcode_image0_contentType""]"
qrcode_image0_contentType,contentType,string,[]
qrcode_image0_uriFragment,uriFragment,rowpath,[]
roomNum,roomNum,integer,[]
roomNum_image0,roomNum_image0,mimeUri,"[""roomNum_image0_uriFragment"",""roomNum_image0_contentType""]"
roomNum_image0_contentType,contentType,string,[]
roomNum_image0_uriFragment,uriFragment,rowpath,[]
sat_chores,sat_chores,string,[]
sat_chores_image0,sat_chores_image0,mimeUri,"[""sat_chores_image0_uriFragment"",""sat_chores_image0_contentType""]"
sat_chores_image0_contentType,contentType,string,[]
sat_chores_image0_uriFragment,uriFragment,rowpath,[]
scan_output_directory,scan_output_directory,string,[]
stay,stay,integer,[]
stay_image0,stay_image0,mimeUri,"[""stay_image0_uriFragment"",""stay_image0_contentType""]"
stay_image0_contentType,contentType,string,[]
stay_image0_uriFragment,uriFragment,rowpath,[]
sun_chores,sun_chores,string,[]
sun_chores_image0,sun_chores_image0,mimeUri,"[""sun_chores_image0_uriFragment"",""sun_chores_image0_contentType""]"
sun_chores_image0_contentType,contentType,string,[]
sun_chores_image0_uriFragment,uriFragment,rowpath,[]
thurs_chores,thurs_chores,string,[]
thurs_chores_image0,thurs_chores_image0,mimeUri,"[""thurs_chores_image0_uriFragment"",""thurs_chores_image0_contentType""]"
thurs_chores_image0_contentType,contentType,string,[]
thurs_chores_image0_uriFragment,uriFragment,rowpath,[]
tues_chores,tues_chores,string,[]
tues_chores_image0,tues_chores_image0,mimeUri,"[""tues_chores_image0_uriFragment"",""tues_chores_image0_contentType""]"
tues_chores_image0_contentType,contentType,string,[]
tues_chores_image0_uriFragment,uriFragment,rowpath,[]
wed_chores,wed_chores,string,[]
wed_chores_image0,wed_chores_image0,mimeUri,"[""wed_chores_image0_uriFragment"",""wed_chores_image0_contentType""]"
wed_chores_image0_contentType,contentType,string,[]
wed_chores_image0_uriFragment,uriFragment,rowpath,[]
