_partition,_aspect,_key,_type,_value
Column,fri_chores,displayChoicesList,object,"[{""choice_list_name"":""chores"",""data_value"":""dishes"",""display"":{""text"":""Wash dishes""},""_row_num"":2},{""choice_list_name"":""chores"",""data_value"":""sweep"",""display"":{""text"":""Sweep patio""},""_row_num"":3},{""choice_list_name"":""chores"",""data_value"":""cook"",""display"":{""text"":""Cook dinner""},""_row_num"":4},{""choice_list_name"":""chores"",""data_value"":""roomba"",""display"":{""text"":""Program roomba""},""_row_num"":5}]"
Column,mon_chores,displayChoicesList,object,"[{""choice_list_name"":""chores"",""data_value"":""dishes"",""display"":{""text"":""Wash dishes""},""_row_num"":2},{""choice_list_name"":""chores"",""data_value"":""sweep"",""display"":{""text"":""Sweep patio""},""_row_num"":3},{""choice_list_name"":""chores"",""data_value"":""cook"",""display"":{""text"":""Cook dinner""},""_row_num"":4},{""choice_list_name"":""chores"",""data_value"":""roomba"",""display"":{""text"":""Program roomba""},""_row_num"":5}]"
Column,sat_chores,displayChoicesList,object,"[{""choice_list_name"":""chores"",""data_value"":""dishes"",""display"":{""text"":""Wash dishes""},""_row_num"":2},{""choice_list_name"":""chores"",""data_value"":""sweep"",""display"":{""text"":""Sweep patio""},""_row_num"":3},{""choice_list_name"":""chores"",""data_value"":""cook"",""display"":{""text"":""Cook dinner""},""_row_num"":4},{""choice_list_name"":""chores"",""data_value"":""roomba"",""display"":{""text"":""Program roomba""},""_row_num"":5}]"
Column,sun_chores,displayChoicesList,object,"[{""choice_list_name"":""chores"",""data_value"":""dishes"",""display"":{""text"":""Wash dishes""},""_row_num"":2},{""choice_list_name"":""chores"",""data_value"":""sweep"",""display"":{""text"":""Sweep patio""},""_row_num"":3},{""choice_list_name"":""chores"",""data_value"":""cook"",""display"":{""text"":""Cook dinner""},""_row_num"":4},{""choice_list_name"":""chores"",""data_value"":""roomba"",""display"":{""text"":""Program roomba""},""_row_num"":5}]"
Column,thurs_chores,displayChoicesList,object,"[{""choice_list_name"":""chores"",""data_value"":""dishes"",""display"":{""text"":""Wash dishes""},""_row_num"":2},{""choice_list_name"":""chores"",""data_value"":""sweep"",""display"":{""text"":""Sweep patio""},""_row_num"":3},{""choice_list_name"":""chores"",""data_value"":""cook"",""display"":{""text"":""Cook dinner""},""_row_num"":4},{""choice_list_name"":""chores"",""data_value"":""roomba"",""display"":{""text"":""Program roomba""},""_row_num"":5}]"
Column,tues_chores,displayChoicesList,object,"[{""choice_list_name"":""chores"",""data_value"":""dishes"",""display"":{""text"":""Wash dishes""},""_row_num"":2},{""choice_list_name"":""chores"",""data_value"":""sweep"",""display"":{""text"":""Sweep patio""},""_row_num"":3},{""choice_list_name"":""chores"",""data_value"":""cook"",""display"":{""text"":""Cook dinner""},""_row_num"":4},{""choice_list_name"":""chores"",""data_value"":""roomba"",""display"":{""text"":""Program roomba""},""_row_num"":5}]"
Column,wed_chores,displayChoicesList,object,"[{""choice_list_name"":""chores"",""data_value"":""dishes"",""display"":{""text"":""Wash dishes""},""_row_num"":2},{""choice_list_name"":""chores"",""data_value"":""sweep"",""display"":{""text"":""Sweep patio""},""_row_num"":3},{""choice_list_name"":""chores"",""data_value"":""cook"",""display"":{""text"":""Cook dinner""},""_row_num"":4},{""choice_list_name"":""chores"",""data_value"":""roomba"",""display"":{""text"":""Program roomba""},""_row_num"":5}]"
FormType,default,FormType.formType,string,SURVEY
SurveyUtil,default,SurveyUtil.formId,string,scan_example
Table,default,colOrder,array,"[""address"",""address_image0_contentType"",""address_image0_uriFragment"",""comments"",""comments_image0_contentType"",""comments_image0_uriFragment"",""fri_chores"",""fri_chores_image0_contentType"",""fri_chores_image0_uriFragment"",""mon_chores"",""mon_chores_image0_contentType"",""mon_chores_image0_uriFragment"",""name"",""name_image0_contentType"",""name_image0_uriFragment"",""qrcode"",""qrcode_image0_contentType"",""qrcode_image0_uriFragment"",""roomNum"",""roomNum_image0_contentType"",""roomNum_image0_uriFragment"",""sat_chores"",""sat_chores_image0_contentType"",""sat_chores_image0_uriFragment"",""scan_output_directory"",""stay"",""stay_image0_contentType"",""stay_image0_uriFragment"",""sun_chores"",""sun_chores_image0_contentType"",""sun_chores_image0_uriFragment"",""thurs_chores"",""thurs_chores_image0_contentType"",""thurs_chores_image0_uriFragment"",""tues_chores"",""tues_chores_image0_contentType"",""tues_chores_image0_uriFragment"",""wed_chores"",""wed_chores_image0_contentType"",""wed_chores_image0_uriFragment""]"
Table,default,defaultViewType,string,LIST
Table,default,detailViewFileName,configpath,config/tables/scan_example/html/scan_example_detail.html
Table,default,displayName,object,"""scan_example"""
Table,default,listViewFileName,configpath,config/tables/scan_example/html/scan_example_list.html
