_element_key,_element_name,_element_type,_list_child_element_keys
qrCode1,qrCode1,string,[]
qrCode1_image0,qrCode1_image0,mimeUri,"[""qrCode1_image0_contentType"",""qrCode1_image0_uriFragment""]"
qrCode1_image0_contentType,contentType,mimeType,[]
qrCode1_image0_uriFragment,uriFragment,rowpath,[]
raw,raw,mimeUri,"[""raw_contentType"",""raw_uriFragment""]"
raw_contentType,contentType,string,[]
raw_uriFragment,uriFragment,rowpath,[]
scan_output_directory,scan_output_directory,string,[]
textBox1,textBox1,string,[]
textBox1_image0,textBox1_image0,mimeUri,"[""textBox1_image0_contentType"",""textBox1_image0_uriFragment""]"
textBox1_image0_contentType,contentType,mimeType,[]
textBox1_image0_uriFragment,uriFragment,rowpath,[]
