_element_key,_element_name,_element_type,_list_child_element_keys
age,age,integer,[]
bird,bird,string,[]
color,color,string,[]
confirmTeal,confirmTeal,boolean,[]
country_csv,country_csv,string,[]
location,location,geopoint,"[""location_accuracy"",""location_altitude"",""location_latitude"",""location_longitude""]"
location_accuracy,accuracy,number,[]
location_altitude,altitude,number,[]
location_latitude,latitude,number,[]
location_longitude,longitude,number,[]
picture,picture,mimeUri,"[""picture_contentType"",""picture_uriFragment""]"
picture_contentType,contentType,mimeType,[]
picture_uriFragment,uriFragment,rowpath,[]
region,region,string,[]
secondaryColor,secondaryColor,array,"[""secondaryColor_items""]"
secondaryColor_items,items,string,[]
sex,sex,string,[]
unExpectedColor,unExpectedColor,string,[]
user_name,user_name,string,[]
weight,weight,number,[]
