_partition,_aspect,_key,_type,_value
Column,age,displayChoicesList,array,""
Column,age,displayFormat,string,""
Column,age,displayName,object,"""age"""
Column,age,displayVisible,boolean,true
Column,age,joins,array,""
Column,bird,displayChoicesList,array,"[{""choice_list_name"":""birds"",""data_value"":""blackbird"",""display"":{""image"":""media/blackbird.png""},""_row_num"":2},{""choice_list_name"":""birds"",""data_value"":""bluethroat"",""display"":{""image"":""media/bluethroat.png""},""_row_num"":3},{""choice_list_name"":""birds"",""data_value"":""crow"",""display"":{""image"":""media/crow.png""},""_row_num"":4},{""choice_list_name"":""birds"",""data_value"":""eagle"",""display"":{""image"":""media/eagle.png""},""_row_num"":5},{""choice_list_name"":""birds"",""data_value"":""egret"",""display"":{""image"":""media/egret.png""},""_row_num"":6},{""choice_list_name"":""birds"",""data_value"":""kingfisher"",""display"":{""image"":""media/kingfisher.png""},""_row_num"":7},{""choice_list_name"":""birds"",""data_value"":""gull"",""display"":{""image"":""media/gull.png""},""_row_num"":8},{""choice_list_name"":""birds"",""data_value"":""hawfinch"",""display"":{""image"":""media/hawfinch.png""},""_row_num"":9},{""choice_list_name"":""birds"",""data_value"":""robin"",""display"":{""image"":""media/robin.png""},""_row_num"":10}]"
Column,bird,displayFormat,string,""
Column,bird,displayName,object,"""bird"""
Column,bird,displayVisible,boolean,true
Column,bird,joins,array,""
Column,color,displayChoicesList,array,"[{""choice_list_name"":""colors"",""data_value"":""red"",""display"":{""text"":""Red""},""_row_num"":15},{""choice_list_name"":""colors"",""data_value"":""green"",""display"":{""text"":""Green""},""_row_num"":16},{""choice_list_name"":""colors"",""data_value"":""blue"",""display"":{""text"":""Blue""},""_row_num"":17},{""choice_list_name"":""colors"",""data_value"":""grey"",""display"":{""text"":""Grey""},""_row_num"":18},{""choice_list_name"":""colors"",""data_value"":""brown"",""display"":{""text"":""Brown""},""_row_num"":19},{""choice_list_name"":""colors"",""data_value"":""white"",""display"":{""text"":""White""},""_row_num"":20},{""choice_list_name"":""colors"",""data_value"":""none"",""display"":{""text"":""None of the above""},""_row_num"":21}]"
Column,color,displayFormat,string,""
Column,color,displayName,object,"""color"""
Column,color,displayVisible,boolean,true
Column,color,joins,array,""
Column,confirmTeal,displayChoicesList,array,""
Column,confirmTeal,displayFormat,string,""
Column,confirmTeal,displayName,object,"""confirmTeal"""
Column,confirmTeal,displayVisible,boolean,true
Column,confirmTeal,joins,array,""
Column,country_csv,displayChoicesList,array,""
Column,country_csv,displayFormat,string,""
Column,country_csv,displayName,object,"""country_csv"""
Column,country_csv,displayVisible,boolean,true
Column,country_csv,joins,array,""
Column,location,displayChoicesList,array,""
Column,location,displayFormat,string,""
Column,location,displayName,object,"""location"""
Column,location,displayVisible,boolean,true
Column,location,joins,array,""
Column,location_accuracy,displayChoicesList,array,""
Column,location_accuracy,displayFormat,string,""
Column,location_accuracy,displayName,object,"""accuracy"""
Column,location_accuracy,displayVisible,boolean,true
Column,location_accuracy,joins,array,""
Column,location_altitude,displayChoicesList,array,""
Column,location_altitude,displayFormat,string,""
Column,location_altitude,displayName,object,"""altitude"""
Column,location_altitude,displayVisible,boolean,true
Column,location_altitude,joins,array,""
Column,location_latitude,displayChoicesList,array,""
Column,location_latitude,displayFormat,string,""
Column,location_latitude,displayName,object,"""latitude"""
Column,location_latitude,displayVisible,boolean,true
Column,location_latitude,joins,array,""
Column,location_longitude,displayChoicesList,array,""
Column,location_longitude,displayFormat,string,""
Column,location_longitude,displayName,object,"""longitude"""
Column,location_longitude,displayVisible,boolean,true
Column,location_longitude,joins,array,""
Column,picture,displayChoicesList,array,""
Column,picture,displayFormat,string,""
Column,picture,displayName,object,"""picture"""
Column,picture,displayVisible,boolean,true
Column,picture,joins,array,""
Column,picture_contentType,displayChoicesList,array,""
Column,picture_contentType,displayFormat,string,""
Column,picture_contentType,displayName,object,"""contentType"""
Column,picture_contentType,displayVisible,boolean,true
Column,picture_contentType,joins,array,""
