_partition,_aspect,_key,_type,_value
Column,Date_and_Time,displayChoicesList,object,""
Column,Date_and_Time,displayFormat,string,""
Column,Date_and_Time,displayName,object,"""Date_and_Time"""
Column,Date_and_Time,displayVisible,boolean,true
Column,Date_and_Time,joins,object,""
Column,Sample,displayChoicesList,object,""
Column,Sample,displayFormat,string,""
Column,Sample,displayName,object,"""Sample"""
Column,Sample,displayVisible,boolean,true
Column,Sample,joins,object,""
Column,plot_name,displayChoicesList,object,""
Column,plot_name,displayFormat,string,""
Column,plot_name,displayName,object,"""plot_name"""
Column,plot_name,displayVisible,boolean,true
Column,plot_name,joins,object,""
Column,soil_condition,displayChoicesList,object,""
Column,soil_condition,displayFormat,string,""
Column,soil_condition,displayName,object,"""soil_condition"""
Column,soil_condition,displayVisible,boolean,true
Column,soil_condition,joins,object,""
FormType,default,FormType.formType,string,SURVEY
SurveyUtil,default,SurveyUtil.formId,string,agriculture
Table,default,colOrder,object,"[""Date_and_Time"",""plot_name"",""soil_condition"",""Sample""]"
Table,default,defaultViewType,string,LIST
Table,default,detailViewFileName,string,tables/agriculture/html/agriculture_detail.html
Table,default,displayName,object,"""Agriculture"""
Table,default,groupByCols,object,[]
Table,default,indexCol,string,""
Table,default,listViewFileName,string,tables/agriculture/html/agriculture_list.html
Table,default,sortCol,string,""
Table,default,sortOrder,string,""
