_partition,_aspect,_key,_type,_value
Column,address,displayChoicesList,array,[]
Column,address,displayName,object,"""address"""
Column,address,displayVisible,boolean,TRUE
Column,beneficiary_code,displayChoicesList,array,[]
Column,beneficiary_code,displayName,object,"""beneficiary_code"""
Column,beneficiary_code,displayVisible,boolean,TRUE
Column,city,displayChoicesList,array,[]
Column,city,displayName,object,"""city"""
Column,city,displayVisible,boolean,TRUE
Column,confirm_distribution,displayChoicesList,array,[]
Column,confirm_distribution,displayName,object,"""confirm_distribution"""
Column,confirm_distribution,displayVisible,boolean,TRUE
Column,country,displayChoicesList,array,[]
Column,country,displayName,object,"""country"""
Column,country,displayVisible,boolean,TRUE
Column,date_distributed,displayChoicesList,array,[]
Column,date_distributed,displayName,object,"""date_distributed"""
Column,date_distributed,displayVisible,boolean,TRUE
Column,date_screened,displayChoicesList,array,[]
Column,date_screened,displayName,object,"""date_screened"""
Column,date_screened,displayVisible,boolean,TRUE
Column,envelope_code,displayChoicesList,array,[]
Column,envelope_code,displayName,object,"""envelope_code"""
Column,envelope_code,displayVisible,boolean,TRUE
Column,first_last_name,displayChoicesList,array,[]
Column,first_last_name,displayName,object,"""first_last_name"""
Column,first_last_name,displayVisible,boolean,TRUE
Column,first_name,displayChoicesList,array,[]
Column,first_name,displayName,object,"""first_name"""
Column,first_name,displayVisible,boolean,TRUE
Column,last_name,displayChoicesList,array,[]
Column,last_name,displayName,object,"""last_name"""
Column,last_name,displayVisible,boolean,TRUE
Column,pic_of_card,displayChoicesList,array,[]
Column,pic_of_card,displayName,object,"""pic_of_card"""
Column,pic_of_card,displayVisible,boolean,TRUE
Column,pic_of_card_contentType,displayChoicesList,array,[]
Column,pic_of_card_contentType,displayName,object,"""contentType"""
Column,pic_of_card_contentType,displayVisible,boolean,TRUE
Column,pic_of_card_uriFragment,displayChoicesList,array,[]
Column,pic_of_card_uriFragment,displayName,object,"""uriFragment"""
Column,pic_of_card_uriFragment,displayVisible,boolean,TRUE
Column,postcode,displayChoicesList,array,[]
Column,postcode,displayName,object,"""postcode"""
Column,postcode,displayVisible,boolean,TRUE
Column,received_card,displayChoicesList,array,[]
Column,received_card,displayName,object,"""received_card"""
Column,received_card,displayVisible,boolean,TRUE
Column,spare_str_1,displayChoicesList,array,[]
Column,spare_str_1,displayName,object,"""spare_str_1"""
Column,spare_str_1,displayVisible,boolean,TRUE
Column,spare_str_2,displayChoicesList,array,[]
Column,spare_str_2,displayName,object,"""spare_str_2"""
Column,spare_str_2,displayVisible,boolean,TRUE
Column,spare_str_3,displayChoicesList,array,[]
Column,spare_str_3,displayName,object,"""spare_str_3"""
Column,spare_str_3,displayVisible,boolean,TRUE
Column,spare_str_4,displayChoicesList,array,[]
Column,spare_str_4,displayName,object,"""spare_str_4"""
Column,spare_str_4,displayVisible,boolean,TRUE
Column,spare_str_5,displayChoicesList,array,[]
Column,spare_str_5,displayName,object,"""spare_str_5"""
Column,spare_str_5,displayVisible,boolean,TRUE
Column,spare_str_6,displayChoicesList,array,[]
Column,spare_str_6,displayName,object,"""spare_str_6"""
Column,spare_str_6,displayVisible,boolean,TRUE
Column,state,displayChoicesList,array,[]
Column,state,displayName,object,"""state"""
Column,state,displayVisible,boolean,TRUE
Column,telephone,displayChoicesList,array,[]
Column,telephone,displayName,object,"""telephone"""
Column,telephone,displayVisible,boolean,TRUE
FormType,default,FormType.formType,string,SURVEY
SurveyUtil,default,SurveyUtil.formId,string,beneficiaries
Table,default,colOrder,array,"[""first_name"",""last_name"",""first_last_name"",""address"",""city"",""country"",""state"",""postcode"",""telephone"",""beneficiary_code"",""envelope_code"",""date_screened"",""date_distributed"",""received_card"",""confirm_distribution"",""spare_str_1"",""spare_str_2"",""spare_str_3"",""spare_str_4"",""spare_str_5"",""spare_str_6"",""pic_of_card_uriFragment"",""pic_of_card_contentType""]"
Table,default,defaultViewType,string,SPREADSHEET
Table,default,displayName,object,"""Beneficiaries"""
Table,default,groupByCols,array,[]
