_element_key,_element_name,_element_type,_is_unit_of_retention,_list_child_element_keys
age,age,integer,TRUE,null
bird,bird,string,TRUE,null
color,color,string,TRUE,null
confirmTeal,confirmTeal,boolean,TRUE,null
country_csv,country_csv,string,TRUE,null
location,location,geopoint,FALSE,"[""location_latitude"",""location_longitude"",""location_altitude"",""location_accuracy""]"
location_accuracy,accuracy,number,TRUE,null
location_altitude,altitude,number,TRUE,null
location_latitude,latitude,number,TRUE,null
location_longitude,longitude,number,TRUE,null
picture,picture,mimeUri,FALSE,"[""picture_uriFragment"",""picture_contentType""]"
picture_contentType,contentType,string,TRUE,null
picture_uriFragment,uriFragment,string,TRUE,null
region,region,string,TRUE,null
secondaryColor,secondaryColor,array,TRUE,"[""secondaryColor_items""]"
secondaryColor_items,items,string,FALSE,null
sex,sex,string,TRUE,null
unExpectedColor,unExpectedColor,string,TRUE,null
user_name,user_name,string,TRUE,null
weight,weight,number,TRUE,null
