_partition,_aspect,_key,_type,_value
Column,age,displayChoicesList,object,""
Column,age,displayFormat,string,""
Column,age,displayName,object,"""age"""
Column,age,displayVisible,boolean,true
Column,age,joins,object,""
Column,bird,displayChoicesList,object,""
Column,bird,displayFormat,string,""
Column,bird,displayName,object,"""bird"""
Column,bird,displayVisible,boolean,true
Column,bird,joins,object,""
Column,color,displayChoicesList,object,""
Column,color,displayFormat,string,""
Column,color,displayName,object,"""color"""
Column,color,displayVisible,boolean,true
Column,color,joins,object,""
Column,confirmTeal,displayChoicesList,object,""
Column,confirmTeal,displayFormat,string,""
Column,confirmTeal,displayName,object,"""confirmTeal"""
Column,confirmTeal,displayVisible,boolean,true
Column,confirmTeal,joins,object,""
Column,country_csv,displayChoicesList,object,""
Column,country_csv,displayFormat,string,""
Column,country_csv,displayName,object,"""country_csv"""
Column,country_csv,displayVisible,boolean,true
Column,country_csv,joins,object,""
Column,location,displayChoicesList,object,""
Column,location,displayFormat,string,""
Column,location,displayName,object,"""location"""
Column,location,displayVisible,boolean,true
Column,location,joins,object,""
Column,location_accuracy,displayChoicesList,object,""
Column,location_accuracy,displayFormat,string,""
Column,location_accuracy,displayName,object,"""accuracy"""
Column,location_accuracy,displayVisible,boolean,true
Column,location_accuracy,joins,object,""
Column,location_altitude,displayChoicesList,object,""
Column,location_altitude,displayFormat,string,""
Column,location_altitude,displayName,object,"""altitude"""
Column,location_altitude,displayVisible,boolean,true
Column,location_altitude,joins,object,""
Column,location_latitude,displayChoicesList,object,""
Column,location_latitude,displayFormat,string,""
Column,location_latitude,displayName,object,"""latitude"""
Column,location_latitude,displayVisible,boolean,true
Column,location_latitude,joins,object,""
Column,location_longitude,displayChoicesList,object,""
Column,location_longitude,displayFormat,string,""
Column,location_longitude,displayName,object,"""longitude"""
Column,location_longitude,displayVisible,boolean,true
Column,location_longitude,joins,object,""
Column,picture,displayChoicesList,object,""
Column,picture,displayFormat,string,""
Column,picture,displayName,object,"""picture"""
Column,picture,displayVisible,boolean,true
Column,picture,joins,object,""
Column,picture_contentType,displayChoicesList,object,""
Column,picture_contentType,displayFormat,string,""
Column,picture_contentType,displayName,object,"""contentType"""
Column,picture_contentType,displayVisible,boolean,true
Column,picture_contentType,joins,object,""
Column,picture_uriFragment,displayChoicesList,object,""
Column,picture_uriFragment,displayFormat,string,""
Column,picture_uriFragment,displayName,object,"""uriFragment"""
Column,picture_uriFragment,displayVisible,boolean,true
Column,picture_uriFragment,joins,object,""
Column,region,displayChoicesList,object,""
Column,region,displayFormat,string,""
Column,region,displayName,object,"""region"""
Column,region,displayVisible,boolean,true
Column,region,joins,object,""
Column,secondaryColor,displayChoicesList,object,""
Column,secondaryColor,displayFormat,string,""
Column,secondaryColor,displayName,object,"""secondaryColor"""
Column,secondaryColor,displayVisible,boolean,true
Column,secondaryColor,joins,object,""
Column,secondaryColor_items,displayChoicesList,object,""
Column,secondaryColor_items,displayFormat,string,""
Column,secondaryColor_items,displayName,object,"""items"""
Column,secondaryColor_items,displayVisible,boolean,true
Column,secondaryColor_items,joins,object,""
Column,sex,displayChoicesList,object,""
Column,sex,displayFormat,string,""
Column,sex,displayName,object,"""sex"""
Column,sex,displayVisible,boolean,true
Column,sex,joins,object,""
Column,unExpectedColor,displayChoicesList,object,""
Column,unExpectedColor,displayFormat,string,""
Column,unExpectedColor,displayName,object,"""unExpectedColor"""
Column,unExpectedColor,displayVisible,boolean,true
Column,unExpectedColor,joins,object,""
Column,user_name,displayChoicesList,object,""
Column,user_name,displayFormat,string,""
Column,user_name,displayName,object,"""user_name"""
Column,user_name,displayVisible,boolean,true
Column,user_name,joins,object,""
Column,weight,displayChoicesList,object,""
Column,weight,displayFormat,string,""
Column,weight,displayName,object,"""weight"""
Column,weight,displayVisible,boolean,true
Column,weight,joins,object,""
Table,default,colOrder,object,"[""user_name"",""region"",""country_csv"",""location_latitude"",""location_longitude"",""location_altitude"",""location_accuracy"",""picture_uriFragment"",""picture_contentType"",""bird"",""color"",""unExpectedColor"",""secondaryColor"",""confirmTeal"",""age"",""weight"",""sex""]"
Table,default,defaultViewType,string,SPREADSHEET
Table,default,displayName,object,"""Select Demo Examples"""
Table,default,groupByCols,object,[]
Table,default,indexCol,string,""
Table,default,sortCol,string,""
Table,default,sortOrder,string,""
