_partition,_aspect,_key,_type,_value
Column,Customers,displayChoicesList,object,[]
Column,Customers,displayFormat,string,
Column,Customers,displayName,object,"""Customers"""
Column,Customers,displayVisible,boolean,TRUE
Column,Customers,joins,object,
Column,Date_Opened,displayChoicesList,object,[]
Column,Date_Opened,displayFormat,string,
Column,Date_Opened,displayName,object,"""Date_Opened"""
Column,Date_Opened,displayVisible,boolean,TRUE
Column,Date_Opened,joins,object,
Column,District,displayChoicesList,object,[]
Column,District,displayFormat,string,
Column,District,displayName,object,"""District"""
Column,District,displayVisible,boolean,TRUE
Column,District,joins,object,
Column,GeoPoint,displayChoicesList,object,[]
Column,GeoPoint,displayFormat,string,
Column,GeoPoint,displayName,object,"""GeoPoint"""
Column,GeoPoint,displayVisible,boolean,TRUE
Column,GeoPoint,joins,object,
Column,Hot,displayChoicesList,object,[]
Column,Hot,displayFormat,string,
Column,Hot,displayName,object,"""Hot"""
Column,Hot,displayVisible,boolean,TRUE
Column,Hot,joins,object,
Column,House_id,displayChoicesList,object,[]
Column,House_id,displayFormat,string,
Column,House_id,displayName,object,"""House_id"""
Column,House_id,displayVisible,boolean,TRUE
Column,House_id,joins,object,
Column,Iced,displayChoicesList,object,[]
Column,Iced,displayFormat,string,
Column,Iced,displayName,object,"""Iced"""
Column,Iced,displayVisible,boolean,TRUE
Column,Iced,joins,object,
Column,Latitude,displayChoicesList,object,[]
Column,Latitude,displayFormat,string,
Column,Latitude,displayName,object,"""Latitude"""
Column,Latitude,displayVisible,boolean,TRUE
Column,Latitude,joins,object,
Column,Longitude,displayChoicesList,object,[]
Column,Longitude,displayFormat,string,
Column,Longitude,displayName,object,"""Longitude"""
Column,Longitude,displayVisible,boolean,TRUE
Column,Longitude,joins,object,
Column,Name,displayChoicesList,object,[]
Column,Name,displayFormat,string,
Column,Name,displayName,object,"""Name"""
Column,Name,displayVisible,boolean,TRUE
Column,Name,joins,object,
Column,Neighborhood,displayChoicesList,object,[]
Column,Neighborhood,displayFormat,string,
Column,Neighborhood,displayName,object,"""Neighborhood"""
Column,Neighborhood,displayVisible,boolean,TRUE
Column,Neighborhood,joins,object,
Column,Owner,displayChoicesList,object,[]
Column,Owner,displayFormat,string,
Column,Owner,displayName,object,"""Owner"""
Column,Owner,displayVisible,boolean,TRUE
Column,Owner,joins,object,
Column,Phone_Number,displayChoicesList,object,[]
Column,Phone_Number,displayFormat,string,
Column,Phone_Number,displayName,object,"""Phone_Number"""
Column,Phone_Number,displayVisible,boolean,TRUE
Column,Phone_Number,joins,object,
Column,Region,displayChoicesList,object,[]
Column,Region,displayFormat,string,
Column,Region,displayName,object,"""Region"""
Column,Region,displayVisible,boolean,TRUE
Column,Region,joins,object,
Column,Specialty_Type_id,displayChoicesList,object,[]
Column,Specialty_Type_id,displayFormat,string,
Column,Specialty_Type_id,displayName,object,"""Specialty_Type_id"""
Column,Specialty_Type_id,displayVisible,boolean,TRUE
Column,Specialty_Type_id,joins,object,
Column,State,displayChoicesList,object,[]
Column,State,displayFormat,string,
Column,State,displayName,object,"""State"""
Column,State,displayVisible,boolean,TRUE
Column,State,joins,object,
Column,Visits,displayChoicesList,object,[]
Column,Visits,displayFormat,string,
Column,Visits,displayName,object,"""Visits"""
Column,Visits,displayVisible,boolean,TRUE
Column,Visits,joins,object,
Column,WiFi,displayChoicesList,object,[]
Column,WiFi,displayFormat,string,
Column,WiFi,displayName,object,"""WiFi"""
Column,WiFi,displayVisible,boolean,TRUE
Column,WiFi,joins,object,
DetailDisplayActivity,default,filename,string,tables/Tea_houses/html/Tea_houses_detail.html
ListDisplayActivity,default,nameOfListView,string,List View 1
ListDisplayActivity.views,List View 1,filename,string,tables/Tea_houses/html/Tea_houses_list.html
ListDisplayActivity.views,tests,filename,string,framework/tables/test/html/javascriptTests.html
Table,default,colOrder,object,"[""House_id"",""State"",""Region"",""District"",""Neighborhood"",""Specialty_Type_id"",""Name"",""Customers"",""Visits"",""Iced"",""Hot"",""WiFi"",""Latitude"",""Longitude"",""Date_Opened"",""Owner"",""Phone_Number"",""GeoPoint""]"
Table,default,defaultViewType,string,List
Table,default,displayName,object,"""Tea houses"""
Table,default,groupByCols,object,[]
Table,default,indexCol,string,
Table,default,sortCol,string,
Table,default,sortOrder,string,
TableColorRuleGroup,default,StatusColumn.ruleList,object,"[{""mValue"":""rest"",""mElementKey"":""_sync_state"",""mOperator"":""EQUAL"",""mId"":""syncStateRest"",""mForeground"":-16777216,""mBackground"":-1},{""mValue"":""inserting"",""mElementKey"":""_sync_state"",""mOperator"":""EQUAL"",""mId"":""defaultRule_syncStateInserting"",""mForeground"":-16777216,""mBackground"":-16711936},{""mValue"":""updating"",""mElementKey"":""_sync_state"",""mOperator"":""EQUAL"",""mId"":""defaultRule_syncStateUpdating"",""mForeground"":-16777216,""mBackground"":-935891},{""mValue"":""conflicting"",""mElementKey"":""_sync_state"",""mOperator"":""EQUAL"",""mId"":""defaultRule_syncStateConflicting"",""mForeground"":-16777216,""mBackground"":-65536},{""mValue"":""deleting"",""mElementKey"":""_sync_state"",""mOperator"":""EQUAL"",""mId"":""defaultRule_syncStateDeleting"",""mForeground"":-16777216,""mBackground"":-12303292}]"
TableMapFragment,default,keyColorRuleType,string,None
TableMapFragment,default,keyFilename,string,tables/Tea_houses/html/Tea_houses_list.html
TableMapFragment,default,keyMapLatCol,string,Latitude
TableMapFragment,default,keyMapLongCol,string,Longitude
