_element_key,_element_name,_element_type,_list_child_element_keys
Owner,Owner,none,[]
WiFi,WiFi,none,[]
Customers,Customers,none,[]
Date_Opened,Date_Opened,none,[]
GeoPoint,GeoPoint,none,[]
Hot,Hot,none,[]
Specialty_Type_id,Specialty_Type_id,none,[]
House_id,House_id,none,[]
Name,Name,none,[]
Neighborhood,Neighborhood,none,[]
Region,Region,none,[]
State,State,none,[]
District,District,none,[]
Phone_Number,Phone_Number,none,[]
Latitude,Latitude,none,[]
Longitude,Longitude,none,[]
Iced,Iced,none,[]
Visits,Visits,none,[]
