_partition,_aspect,_key,_type,_value
Column,Customers,displayChoicesList,json,[]
Column,Customers,displayFormat,string,
Column,Customers,displayName,json,"""Customers"""
Column,Customers,displayVisible,boolean,TRUE
Column,Customers,joins,json,
Column,Date_Opened,displayChoicesList,json,[]
Column,Date_Opened,displayFormat,string,
Column,Date_Opened,displayName,json,"""Date_Opened"""
Column,Date_Opened,displayVisible,boolean,TRUE
Column,Date_Opened,joins,json,
Column,District,displayChoicesList,json,[]
Column,District,displayFormat,string,
Column,District,displayName,json,"""District"""
Column,District,displayVisible,boolean,TRUE
Column,District,joins,json,
Column,GeoPoint,displayChoicesList,json,[]
Column,GeoPoint,displayFormat,string,
Column,GeoPoint,displayName,json,"""GeoPoint"""
Column,GeoPoint,displayVisible,boolean,TRUE
Column,GeoPoint,joins,json,
Column,Hot,displayChoicesList,json,[]
Column,Hot,displayFormat,string,
Column,Hot,displayName,json,"""Hot"""
Column,Hot,displayVisible,boolean,TRUE
Column,Hot,joins,json,
Column,House_id,displayChoicesList,json,[]
Column,House_id,displayFormat,string,
Column,House_id,displayName,json,"""House_id"""
Column,House_id,displayVisible,boolean,TRUE
Column,House_id,joins,json,
Column,Iced,displayChoicesList,json,[]
Column,Iced,displayFormat,string,
Column,Iced,displayName,json,"""Iced"""
Column,Iced,displayVisible,boolean,TRUE
Column,Iced,joins,json,
Column,Latitude,displayChoicesList,json,[]
Column,Latitude,displayFormat,string,
Column,Latitude,displayName,json,"""Latitude"""
Column,Latitude,displayVisible,boolean,TRUE
Column,Latitude,joins,json,
Column,Longitude,displayChoicesList,json,[]
Column,Longitude,displayFormat,string,
Column,Longitude,displayName,json,"""Longitude"""
Column,Longitude,displayVisible,boolean,TRUE
Column,Longitude,joins,json,
Column,Name,displayChoicesList,json,[]
Column,Name,displayFormat,string,
Column,Name,displayName,json,"""Name"""
Column,Name,displayVisible,boolean,TRUE
Column,Name,joins,json,
Column,Neighborhood,displayChoicesList,json,[]
Column,Neighborhood,displayFormat,string,
Column,Neighborhood,displayName,json,"""Neighborhood"""
Column,Neighborhood,displayVisible,boolean,TRUE
Column,Neighborhood,joins,json,
Column,Owner,displayChoicesList,json,[]
Column,Owner,displayFormat,string,
Column,Owner,displayName,json,"""Owner"""
Column,Owner,displayVisible,boolean,TRUE
Column,Owner,joins,json,
Column,Phone_Number,displayChoicesList,json,[]
Column,Phone_Number,displayFormat,string,
Column,Phone_Number,displayName,json,"""Phone_Number"""
Column,Phone_Number,displayVisible,boolean,TRUE
Column,Phone_Number,joins,json,
Column,Region,displayChoicesList,json,[]
Column,Region,displayFormat,string,
Column,Region,displayName,json,"""Region"""
Column,Region,displayVisible,boolean,TRUE
Column,Region,joins,json,
Column,Specialty_Type_id,displayChoicesList,json,[]
Column,Specialty_Type_id,displayFormat,string,
Column,Specialty_Type_id,displayName,json,"""Specialty_Type_id"""
Column,Specialty_Type_id,displayVisible,boolean,TRUE
Column,Specialty_Type_id,joins,json,
Column,State,displayChoicesList,json,[]
Column,State,displayFormat,string,
Column,State,displayName,json,"""State"""
Column,State,displayVisible,boolean,TRUE
Column,State,joins,json,
Column,Visits,displayChoicesList,json,[]
Column,Visits,displayFormat,string,
Column,Visits,displayName,json,"""Visits"""
Column,Visits,displayVisible,boolean,TRUE
Column,Visits,joins,json,
Column,WiFi,displayChoicesList,json,[]
Column,WiFi,displayFormat,string,
Column,WiFi,displayName,json,"""WiFi"""
Column,WiFi,displayVisible,boolean,TRUE
Column,WiFi,joins,json,
ListDisplayActivity,default,nameOfListView,string,input tests
ListDisplayActivity.views,input tests,filename,string,framework/tables/test/html/inputTests.html
Table,default,colOrder,json,"[""House_id"",""State"",""Region"",""District"",""Neighborhood"",""Specialty_Type_id"",""Name"",""Customers"",""Visits"",""Iced"",""Hot"",""WiFi"",""Latitude"",""Longitude"",""Date_Opened"",""Owner"",""Phone_Number"",""GeoPoint""]"
Table,default,defaultViewType,string,List
Table,default,displayName,json,"""Tea houses editable"""
Table,default,groupByCols,json,[]
Table,default,indexCol,string,
Table,default,sortCol,string,
Table,default,sortOrder,string,
TableColorRuleGroup,default,StatusColumn.ruleList,object,"[{""mValue"":""rest"",""mElementKey"":""_sync_state"",""mOperator"":""EQUAL"",""mId"":""syncStateRest"",""mForeground"":-16777216,""mBackground"":-1},{""mValue"":""inserting"",""mElementKey"":""_sync_state"",""mOperator"":""EQUAL"",""mId"":""defaultRule_syncStateInserting"",""mForeground"":-16777216,""mBackground"":-16711936},{""mValue"":""updating"",""mElementKey"":""_sync_state"",""mOperator"":""EQUAL"",""mId"":""defaultRule_syncStateUpdating"",""mForeground"":-16777216,""mBackground"":-935891},{""mValue"":""conflicting"",""mElementKey"":""_sync_state"",""mOperator"":""EQUAL"",""mId"":""defaultRule_syncStateConflicting"",""mForeground"":-16777216,""mBackground"":-65536},{""mValue"":""deleting"",""mElementKey"":""_sync_state"",""mOperator"":""EQUAL"",""mId"":""defaultRule_syncStateDeleting"",""mForeground"":-16777216,""mBackground"":-12303292}]"
