_partition,_aspect,_key,_type,_value
Column,Bags,displayChoicesList,object,[]
Column,Bags,displayFormat,string,""
Column,Bags,displayName,string,"""Bags"""
Column,Bags,displayVisible,boolean,TRUE
Column,Bags,joins,object,""
Column,Cold,displayChoicesList,object,[]
Column,Cold,displayFormat,string,""
Column,Cold,displayName,string,"""Cold"""
Column,Cold,displayVisible,boolean,TRUE
Column,Cold,joins,object,""
Column,Hot,displayChoicesList,object,[]
Column,Hot,displayFormat,string,""
Column,Hot,displayName,string,"""Hot"""
Column,Hot,displayVisible,boolean,TRUE
Column,Hot,joins,object,""
Column,House_id,displayChoicesList,object,[]
Column,House_id,displayFormat,string,""
Column,House_id,displayName,string,"""House_id"""
Column,House_id,displayVisible,boolean,TRUE
Column,House_id,joins,object,""
Column,Loose_Leaf,displayChoicesList,object,[]
Column,Loose_Leaf,displayFormat,string,""
Column,Loose_Leaf,displayName,string,"""Loose_Leaf"""
Column,Loose_Leaf,displayVisible,boolean,TRUE
Column,Loose_Leaf,joins,object,""
Column,Name,displayChoicesList,object,[]
Column,Name,displayFormat,string,""
Column,Name,displayName,string,"""Name"""
Column,Name,displayVisible,boolean,TRUE
Column,Name,joins,object,""
Column,Price_12oz,displayChoicesList,object,[]
Column,Price_12oz,displayFormat,string,""
Column,Price_12oz,displayName,string,"""Price_12oz"""
Column,Price_12oz,displayVisible,boolean,TRUE
Column,Price_12oz,joins,object,""
Column,Price_16oz,displayChoicesList,object,[]
Column,Price_16oz,displayFormat,string,""
Column,Price_16oz,displayName,string,"""Price_16oz"""
Column,Price_16oz,displayVisible,boolean,TRUE
Column,Price_16oz,joins,object,""
Column,Price_8oz,displayChoicesList,object,[]
Column,Price_8oz,displayFormat,string,""
Column,Price_8oz,displayName,string,"""Price_8oz"""
Column,Price_8oz,displayVisible,boolean,TRUE
Column,Price_8oz,joins,object,""
Column,Type_id,displayChoicesList,object,[]
Column,Type_id,displayFormat,string,""
Column,Type_id,displayName,string,"""Type_id"""
Column,Type_id,displayVisible,boolean,TRUE
Column,Type_id,joins,object,""
DetailDisplayActivity,default,filename,string,tables/Tea_inventory/html/Tea_inventory_detail.html
ListDisplayActivity,default,nameOfListView,string,List View 0
ListDisplayActivity.views,List View 0,filename,string,tables/Tea_inventory/html/Tea_inventory_list.html
Table,default,colOrder,string,"[""Type_id"",""House_id"",""Name"",""Price_8oz"",""Price_12oz"",""Price_16oz"",""Hot"",""Cold"",""Loose_Leaf"",""Bags""]"
Table,default,defaultViewType,string,LIST
Table,default,detailViewFileName,string,tables/Tea_inventory/html/Tea_inventory_detail.html
Table,default,displayName,object,"""Tea inventory"""
Table,default,groupByCols,string,[]
Table,default,indexCol,string,""
Table,default,listViewFileName,string,tables/Tea_inventory/html/Tea_inventory_list.html
Table,default,primeCols,string,""
Table,default,sortCol,string,""
Table,default,sortOrder,string,""
TableColorRuleGroup,default,StatusColumn.ruleList,object,"[{""mValue"":""rest"",""mElementKey"":""_sync_state"",""mOperator"":""EQUAL"",""mId"":""syncStateRest"",""mForeground"":-16777216,""mBackground"":-1},{""mValue"":""inserting"",""mElementKey"":""_sync_state"",""mOperator"":""EQUAL"",""mId"":""defaultRule_syncStateInserting"",""mForeground"":-16777216,""mBackground"":-16711936},{""mValue"":""updating"",""mElementKey"":""_sync_state"",""mOperator"":""EQUAL"",""mId"":""defaultRule_syncStateUpdating"",""mForeground"":-16777216,""mBackground"":-935891},{""mValue"":""conflicting"",""mElementKey"":""_sync_state"",""mOperator"":""EQUAL"",""mId"":""defaultRule_syncStateConflicting"",""mForeground"":-16777216,""mBackground"":-65536},{""mValue"":""deleting"",""mElementKey"":""_sync_state"",""mOperator"":""EQUAL"",""mId"":""defaultRule_syncStateDeleting"",""mForeground"":-16777216,""mBackground"":-12303292}]"
