_element_key,_element_name,_element_type,_is_unit_of_retention,_list_child_element_keys
Rel_OtherEnd,Rel_OtherEnd,string,TRUE,[]
age,age,integer,TRUE,[]
agree_screening,agree_screening,string,TRUE,[]
art,art,string,TRUE,[]
art_curr,art_curr,string,TRUE,[]
art_duration,art_duration,string,TRUE,[]
azt,azt,string,TRUE,[]
baby_alive,baby_alive,string,TRUE,[]
baby_alive_now,baby_alive_now,string,TRUE,[]
baby_weight,baby_weight,number,TRUE,[]
baby_weight_now,baby_weight_now,number,TRUE,[]
bf_after_deliv,bf_after_deliv,string,TRUE,[]
bf_duration,bf_duration,integer,TRUE,[]
c_section,c_section,string,TRUE,[]
ccc,ccc,string,TRUE,[]
cd4_count,cd4_count,integer,TRUE,[]
cd4_known,cd4_known,string,TRUE,[]
child_curr_meds,child_curr_meds,string,TRUE,[]
child_meds,child_meds,string,TRUE,[]
child_missed_doses,child_missed_doses,string,TRUE,[]
client_consent,client_consent,string,TRUE,[]
client_id,client_id,integer,TRUE,[]
clinic_proximity,clinic_proximity,string,TRUE,[]
comments,comments,string,TRUE,[]
complications,complications,array,TRUE,"[""complications_items""]"
complications_items,items,string,FALSE,[]
complications_other,complications_other,string,TRUE,[]
curr_relationship,curr_relationship,string,TRUE,[]
date,date,date,TRUE,[]
delivery_assisted,delivery_assisted,string,TRUE,[]
delivery_assisted_other,delivery_assisted_other,string,TRUE,[]
delivery_date,delivery_date,date,TRUE,[]
delivery_location,delivery_location,string,TRUE,[]
delivery_location_other,delivery_location_other,string,TRUE,[]
education_level,education_level,string,TRUE,[]
employment,employment,array,TRUE,"[""employment_items""]"
employment_items,items,string,FALSE,[]
employment_other,employment_other,string,TRUE,[]
ethnic_group,ethnic_group,string,TRUE,[]
ethnic_group_other,ethnic_group_other,string,TRUE,[]
gestational_age,gestational_age,integer,TRUE,[]
hiv_tested,hiv_tested,string,TRUE,[]
induced_labor,induced_labor,string,TRUE,[]
infant_test,infant_test,string,TRUE,[]
interviewer_id,interviewer_id,integer,TRUE,[]
interviewer_init,interviewer_init,string,TRUE,[]
labor_meds,labor_meds,string,TRUE,[]
living_children,living_children,integer,TRUE,[]
meds_after_deliv,meds_after_deliv,string,TRUE,[]
partner_age,partner_age,integer,TRUE,[]
pregnant,pregnant,string,TRUE,[]
prescr_meds,prescr_meds,string,TRUE,[]
randomization,randomization,string,TRUE,[]
refusal_reasons,refusal_reasons,array,TRUE,"[""refusal_reasons_items""]"
refusal_reasons_items,items,string,FALSE,[]
refusal_reasons_other,refusal_reasons_other,string,TRUE,[]
rel_change,rel_change,array,TRUE,"[""rel_change_items""]"
rel_change_items,items,string,FALSE,[]
rel_change_other,rel_change_other,string,TRUE,[]
rel_end_reason,rel_end_reason,array,TRUE,"[""rel_end_reason_items""]"
rel_end_reason_items,items,string,FALSE,[]
rel_end_study,rel_end_study,string,TRUE,[]
religion,religion,string,TRUE,[]
religion_other,religion_other,string,TRUE,[]
still_bf,still_bf,string,TRUE,[]
test_location,test_location,array,TRUE,"[""test_location_items""]"
test_location_items,items,string,FALSE,[]
test_location_other,test_location_other,string,TRUE,[]
test_result,test_result,string,TRUE,[]
times_pregnant,times_pregnant,integer,TRUE,[]
