_element_key,_element_name,_element_type,_is_unit_of_retention,_list_child_element_keys
FOL_B_AnimID,FOL_B_AnimID,string,TRUE,null
FOL_CL_community_id,FOL_CL_community_id,string,TRUE,null
FOL_am_observer1,FOL_am_observer1,string,TRUE,null
FOL_am_observer2,FOL_am_observer2,string,TRUE,null
FOL_date,FOL_date,date,TRUE,[]
FOL_day,FOL_day,integer,TRUE,null
FOL_distance_traveled,FOL_distance_traveled,integer,TRUE,null
FOL_duration,FOL_duration,integer,TRUE,null
FOL_flag_begin_in_nest,FOL_flag_begin_in_nest,string,TRUE,null
FOL_flag_end_in_nest,FOL_flag_end_in_nest,string,TRUE,null
FOL_month,FOL_month,integer,TRUE,null
FOL_pm_observer1,FOL_pm_observer1,string,TRUE,null
FOL_pm_observer2,FOL_pm_observer2,string,TRUE,null
FOL_study_code1,FOL_study_code1,string,TRUE,null
FOL_study_code2,FOL_study_code2,string,TRUE,null
FOL_time_begin,FOL_time_begin,time,TRUE,[]
FOL_time_end,FOL_time_end,time,TRUE,[]
FOL_year,FOL_year,integer,TRUE,null
