_partition,_aspect,_key,_type,_value
Column,FOL_B_AnimID,displayChoicesList,object,
Column,FOL_B_AnimID,displayFormat,string,
Column,FOL_B_AnimID,displayName,string,"""FOL_B_AnimID"""
Column,FOL_B_AnimID,displayVisible,boolean,TRUE
Column,FOL_B_AnimID,joins,object,
Column,FOL_CL_community_id,displayChoicesList,object,
Column,FOL_CL_community_id,displayFormat,string,
Column,FOL_CL_community_id,displayName,string,"""FOL_CL_community_id"""
Column,FOL_CL_community_id,displayVisible,boolean,TRUE
Column,FOL_CL_community_id,joins,object,
Column,FOL_am_observer1,displayChoicesList,object,
Column,FOL_am_observer1,displayFormat,string,
Column,FOL_am_observer1,displayName,string,"""FOL_am_observer1"""
Column,FOL_am_observer1,displayVisible,boolean,TRUE
Column,FOL_am_observer1,joins,object,
Column,FOL_am_observer2,displayChoicesList,object,
Column,FOL_am_observer2,displayFormat,string,
Column,FOL_am_observer2,displayName,string,"""FOL_am_observer2"""
Column,FOL_am_observer2,displayVisible,boolean,TRUE
Column,FOL_am_observer2,joins,object,
Column,FOL_date,displayChoicesList,object,
Column,FOL_date,displayFormat,string,
Column,FOL_date,displayName,string,"""FOL_date"""
Column,FOL_date,displayVisible,boolean,TRUE
Column,FOL_date,joins,object,
Column,FOL_day,displayChoicesList,object,
Column,FOL_day,displayFormat,string,
Column,FOL_day,displayName,string,"""FOL_day"""
Column,FOL_day,displayVisible,boolean,TRUE
Column,FOL_day,joins,object,
Column,FOL_distance_traveled,displayChoicesList,object,
Column,FOL_distance_traveled,displayFormat,string,
Column,FOL_distance_traveled,displayName,string,"""FOL_distance_traveled"""
Column,FOL_distance_traveled,displayVisible,boolean,TRUE
Column,FOL_distance_traveled,joins,object,
Column,FOL_duration,displayChoicesList,object,
Column,FOL_duration,displayFormat,string,
Column,FOL_duration,displayName,string,"""FOL_duration"""
Column,FOL_duration,displayVisible,boolean,TRUE
Column,FOL_duration,joins,object,
Column,FOL_flag_begin_in_nest,displayChoicesList,object,"[{""choice_list_name"":""yes_no"",""data_value"":""yes"",""display"":{""text"":""yes""},""_row_num"":2},{""choice_list_name"":""yes_no"",""data_value"":""no"",""display"":{""text"":""no""},""_row_num"":3}]"
Column,FOL_flag_begin_in_nest,displayFormat,string,
Column,FOL_flag_begin_in_nest,displayName,string,"""FOL_flag_begin_in_nest"""
Column,FOL_flag_begin_in_nest,displayVisible,boolean,TRUE
Column,FOL_flag_begin_in_nest,joins,object,
Column,FOL_flag_end_in_nest,displayChoicesList,object,"[{""choice_list_name"":""yes_no"",""data_value"":""yes"",""display"":{""text"":""yes""},""_row_num"":2},{""choice_list_name"":""yes_no"",""data_value"":""no"",""display"":{""text"":""no""},""_row_num"":3}]"
