_element_key,_element_name,_element_type,_is_unit_of_retention,_list_child_element_keys
FA_B_arr_AnimID,FA_B_arr_AnimID,string,TRUE,null
FA_FOL_B_focal_AnimID,FA_FOL_B_focal_AnimID,string,TRUE,null
FA_FOL_date,FA_FOL_date,date,TRUE,[]
FA_duration_of_obs,FA_duration_of_obs,integer,TRUE,null
FA_seq_num,FA_seq_num,integer,TRUE,null
FA_time_end,FA_time_end,time,TRUE,[]
FA_time_start,FA_time_start,time,TRUE,[]
FA_type_of_certainty,FA_type_of_certainty,integer,TRUE,null
FA_type_of_cycle,FA_type_of_cycle,string,TRUE,null
FA_type_of_nesting,FA_type_of_nesting,integer,TRUE,null
