_partition,_aspect,_key,_type,_value
Column,FA_B_arr_AnimID,displayChoicesList,object,""
Column,FA_B_arr_AnimID,displayFormat,string,""
Column,FA_B_arr_AnimID,displayName,object,"""FA_B_arr_AnimID"""
Column,FA_B_arr_AnimID,displayVisible,boolean,true
Column,FA_B_arr_AnimID,joins,object,""
Column,FA_FOL_B_focal_AnimID,displayChoicesList,object,""
Column,FA_FOL_B_focal_AnimID,displayFormat,string,""
Column,FA_FOL_B_focal_AnimID,displayName,object,"""FA_FOL_B_focal_AnimID"""
Column,FA_FOL_B_focal_AnimID,displayVisible,boolean,true
Column,FA_FOL_B_focal_AnimID,joins,object,""
Column,FA_FOL_date,displayChoicesList,object,""
Column,FA_FOL_date,displayFormat,string,""
Column,FA_FOL_date,displayName,object,"""FA_FOL_date"""
Column,FA_FOL_date,displayVisible,boolean,true
Column,FA_FOL_date,joins,object,""
Column,FA_duration_of_obs,displayChoicesList,object,""
Column,FA_duration_of_obs,displayFormat,string,""
Column,FA_duration_of_obs,displayName,object,"""FA_duration_of_obs"""
Column,FA_duration_of_obs,displayVisible,boolean,true
Column,FA_duration_of_obs,joins,object,""
Column,FA_seq_num,displayChoicesList,object,""
Column,FA_seq_num,displayFormat,string,""
Column,FA_seq_num,displayName,object,"""FA_seq_num"""
Column,FA_seq_num,displayVisible,boolean,true
Column,FA_seq_num,joins,object,""
Column,FA_time_end,displayChoicesList,object,""
Column,FA_time_end,displayFormat,string,""
Column,FA_time_end,displayName,object,"""FA_time_end"""
Column,FA_time_end,displayVisible,boolean,true
Column,FA_time_end,joins,object,""
Column,FA_time_start,displayChoicesList,object,""
Column,FA_time_start,displayFormat,string,""
Column,FA_time_start,displayName,object,"""FA_time_start"""
Column,FA_time_start,displayVisible,boolean,true
Column,FA_time_start,joins,object,""
Column,FA_type_of_certainty,displayChoicesList,object,""
Column,FA_type_of_certainty,displayFormat,string,""
Column,FA_type_of_certainty,displayName,object,"""FA_type_of_certainty"""
Column,FA_type_of_certainty,displayVisible,boolean,true
Column,FA_type_of_certainty,joins,object,""
Column,FA_type_of_cycle,displayChoicesList,object,""
Column,FA_type_of_cycle,displayFormat,string,""
Column,FA_type_of_cycle,displayName,object,"""FA_type_of_cycle"""
Column,FA_type_of_cycle,displayVisible,boolean,true
Column,FA_type_of_cycle,joins,object,""
Column,FA_type_of_nesting,displayChoicesList,object,""
Column,FA_type_of_nesting,displayFormat,string,""
Column,FA_type_of_nesting,displayName,object,"""FA_type_of_nesting"""
Column,FA_type_of_nesting,displayVisible,boolean,true
Column,FA_type_of_nesting,joins,object,""
FormType,default,FormType.formType,string,SURVEY
SurveyUtil,default,SurveyUtil.formId,string,follow_arrival
Table,default,colOrder,object,"[""FA_FOL_date"",""FA_FOL_B_focal_AnimID"",""FA_B_arr_AnimID"",""FA_seq_num"",""FA_type_of_certainty"",""FA_type_of_nesting"",""FA_type_of_cycle"",""FA_time_start"",""FA_time_end"",""FA_duration_of_obs""]"
Table,default,defaultViewType,string,SPREADSHEET
Table,default,displayName,object,"""Follow Arrival"""
Table,default,groupByCols,object,[]
Table,default,indexCol,string,""
Table,default,sortCol,string,""
Table,default,sortOrder,string,""
