_element_key,_element_name,_element_type,_is_unit_of_retention,_list_child_element_keys
FB_FL_local_food_name,FB_FL_local_food_name,string,TRUE,null
FB_FL_local_food_name2,FB_FL_local_food_name2,string,TRUE,null
FB_FOL_B_AnimID,FB_FOL_B_AnimID,string,TRUE,null
FB_FOL_date,FB_FOL_date,date,TRUE,[]
FB_FPL_local_food_part,FB_FPL_local_food_part,string,TRUE,null
FB_FPL_local_food_part2,FB_FPL_local_food_part2,string,TRUE,null
FB_begin_feed_time,FB_begin_feed_time,time,TRUE,[]
FB_duration,FB_duration,integer,TRUE,null
FB_end_feed_time,FB_end_feed_time,time,TRUE,[]
FB_local_food_name_written,FB_local_food_name_written,string,TRUE,null
FB_local_food_part_written,FB_local_food_part_written,string,TRUE,null
