_element_key,_element_name,_element_type,_is_unit_of_retention,_list_child_element_keys
client_id,client_id,integer,TRUE,
coordinates,coordinates,geopoint,FALSE,"[""coordinates_latitude"",""coordinates_longitude"",""coordinates_altitude"",""coordinates_accuracy""]"
coordinates_accuracy,accuracy,number,TRUE,
coordinates_altitude,altitude,number,TRUE,
coordinates_latitude,latitude,number,TRUE,
coordinates_longitude,longitude,number,TRUE,
description,description,string,TRUE,
step,step,string,TRUE,
transportation_mode,transportation_mode,string,TRUE,
transportation_mode_other,transportation_mode_other,string,TRUE,
