_partition,_aspect,_key,_type,_value
Column,client_id,displayChoicesList,object,
Column,client_id,displayFormat,string,
Column,client_id,displayName,string,"""client_id"""
Column,client_id,displayVisible,boolean,TRUE
Column,client_id,joins,object,
Column,coordinates,displayChoicesList,object,
Column,coordinates,displayFormat,string,
Column,coordinates,displayName,string,"""coordinates"""
Column,coordinates,displayVisible,boolean,TRUE
Column,coordinates,joins,object,
Column,coordinates_accuracy,displayChoicesList,object,
Column,coordinates_accuracy,displayFormat,string,
Column,coordinates_accuracy,displayName,string,"""accuracy"""
Column,coordinates_accuracy,displayVisible,boolean,TRUE
Column,coordinates_accuracy,joins,object,
Column,coordinates_altitude,displayChoicesList,object,
Column,coordinates_altitude,displayFormat,string,
Column,coordinates_altitude,displayName,string,"""altitude"""
Column,coordinates_altitude,displayVisible,boolean,TRUE
Column,coordinates_altitude,joins,object,
Column,coordinates_latitude,displayChoicesList,object,
Column,coordinates_latitude,displayFormat,string,
Column,coordinates_latitude,displayName,string,"""latitude"""
Column,coordinates_latitude,displayVisible,boolean,TRUE
Column,coordinates_latitude,joins,object,
Column,coordinates_longitude,displayChoicesList,object,
Column,coordinates_longitude,displayFormat,string,
Column,coordinates_longitude,displayName,string,"""longitude"""
Column,coordinates_longitude,displayVisible,boolean,TRUE
Column,coordinates_longitude,joins,object,
Column,description,displayChoicesList,object,
Column,description,displayFormat,string,
Column,description,displayName,string,"""description"""
Column,description,displayVisible,boolean,TRUE
Column,description,joins,object,
Column,step,displayChoicesList,object,
Column,step,displayFormat,string,
Column,step,displayName,string,"""step"""
Column,step,displayVisible,boolean,TRUE
Column,step,joins,object,
Column,transportation_mode,displayChoicesList,object,
Column,transportation_mode,displayFormat,string,
Column,transportation_mode,displayName,string,"""transportation_mode"""
Column,transportation_mode,displayVisible,boolean,TRUE
Column,transportation_mode,joins,object,
Column,transportation_mode_other,displayChoicesList,object,
Column,transportation_mode_other,displayFormat,string,
Column,transportation_mode_other,displayName,string,"""transportation_mode_other"""
Column,transportation_mode_other,displayVisible,boolean,TRUE
Column,transportation_mode_other,joins,object,
Table,default,colOrder,object,"[""client_id"",""step"",""transportation_mode"",""transportation_mode_other"",""description"",""coordinates_latitude"",""coordinates_longitude"",""coordinates_altitude"",""coordinates_accuracy""]"
Table,default,defaultViewType,string,SPREADSHEET
Table,default,displayName,object,"""Home Locator"""
Table,default,groupByCols,object,[]
Table,default,indexCol,string,
Table,default,mapListViewFileName,string,tables/geopoints/html/geopoints_map_list.html
Table,default,sortCol,string,
Table,default,sortOrder,string,
TableColorRuleGroup,default,StatusColumn.ruleList,object,"[{""mValue"":""synced"",""mElementKey"":""_sync_state"",""mOperator"":""EQUAL"",""mId"":""syncStateSynced"",""mForeground"":-16777216,""mBackground"":-1},{""mValue"":""synced_pending_files"",""mElementKey"":""_sync_state"",""mOperator"":""EQUAL"",""mId"":""syncStateSyncedPendingFiles"",""mForeground"":-16777216,""mBackground"":-1},{""mValue"":""new_row"",""mElementKey"":""_sync_state"",""mOperator"":""EQUAL"",""mId"":""defaultRule_syncStateNewRow"",""mForeground"":-16777216,""mBackground"":-16711936},{""mValue"":""changed"",""mElementKey"":""_sync_state"",""mOperator"":""EQUAL"",""mId"":""defaultRule_syncStateChanged"",""mForeground"":-16777216,""mBackground"":-935891},{""mValue"":""in_conflict"",""mElementKey"":""_sync_state"",""mOperator"":""EQUAL"",""mId"":""defaultRule_syncStateInConflict"",""mForeground"":-16777216,""mBackground"":-65536},{""mValue"":""deleted"",""mElementKey"":""_sync_state"",""mOperator"":""EQUAL"",""mId"":""defaultRule_syncStateDeleted"",""mForeground"":-16777216,""mBackground"":-12303292}]"
TableMapFragment,default,keyColorRuleType,string,None
TableMapFragment,default,keyMapLatCol,string,coordinates_latitude
TableMapFragment,default,keyMapLongCol,string,coordinates_longitude
