_element_key,_element_name,_element_type,_list_child_element_keys
water,water,string,[]
location,location,geopoint,"[""location_latitude"",""location_longitude"",""location_altitude"",""location_accuracy""]"
location_latitude,latitude,number,[]
location_accuracy,accuracy,number,[]
location_altitude,altitude,number,[]
location_longitude,longitude,number,[]
num_rooms,num_rooms,integer,[]
household_id,household_id,string,[]
owner,owner,string,[]
youngest,youngest,array,"[""youngest_items""]"
youngest_items,items,string,[]
electricity,electricity,string,[]
