_element_key,_element_name,_element_type,_list_child_element_keys
school_type,school_type,array,"[""school_type_items""]"
school_type_items,items,string,[]
water,water,string,[]
sex,sex,string,[]
location,location,geopoint,"[""location_latitude"",""location_longitude"",""location_altitude"",""location_accuracy""]"
location_latitude,latitude,number,[]
location_longitude,longitude,number,[]
location_altitude,altitude,number,[]
location_accuracy,accuracy,number,[]
num_rooms,num_rooms,integer,[]
write_language,write_language,string,[]
attend_school,attend_school,string,[]
post_secondary,post_secondary,string,[]
income_contribution,income_contribution,string,[]
currently_school,currently_school,string,[]
household_id,household_id,string,[]
age,age,integer,[]
name,name,string,[]
owner,owner,string,[]
youngest,youngest,array,"[""youngest_items""]"
youngest_items,items,string,[]
electricity,electricity,string,[]
grade_level,grade_level,string,[]
