_partition,_aspect,_key,_type,_value
Column,advise_second,displayChoicesList,object,""
Column,advise_second,displayFormat,string,""
Column,advise_second,displayName,object,"""advise_second"""
Column,advise_second,displayVisible,boolean,true
Column,advise_second,joins,object,""
Column,age,displayChoicesList,object,""
Column,age,displayFormat,string,""
Column,age,displayName,object,"""age"""
Column,age,displayVisible,boolean,true
Column,age,joins,object,""
Column,agree_screening,displayChoicesList,object,""
Column,agree_screening,displayFormat,string,""
Column,agree_screening,displayName,object,"""agree_screening"""
Column,agree_screening,displayVisible,boolean,true
Column,agree_screening,joins,object,""
Column,ccc,displayChoicesList,object,""
Column,ccc,displayFormat,string,""
Column,ccc,displayName,object,"""ccc"""
Column,ccc,displayVisible,boolean,true
Column,ccc,joins,object,""
Column,client_consent,displayChoicesList,object,""
Column,client_consent,displayFormat,string,""
Column,client_consent,displayName,object,"""client_consent"""
Column,client_consent,displayVisible,boolean,true
Column,client_consent,joins,object,""
Column,client_id,displayChoicesList,object,""
Column,client_id,displayFormat,string,""
Column,client_id,displayName,object,"""client_id"""
Column,client_id,displayVisible,boolean,true
Column,client_id,joins,object,""
Column,comments,displayChoicesList,object,""
Column,comments,displayFormat,string,""
Column,comments,displayName,object,"""comments"""
Column,comments,displayVisible,boolean,true
Column,comments,joins,object,""
Column,curr_relationship,displayChoicesList,object,""
Column,curr_relationship,displayFormat,string,""
Column,curr_relationship,displayName,object,"""curr_relationship"""
Column,curr_relationship,displayVisible,boolean,true
Column,curr_relationship,joins,object,""
Column,curr_taking_art,displayChoicesList,object,""
Column,curr_taking_art,displayFormat,string,""
Column,curr_taking_art,displayName,object,"""curr_taking_art"""
Column,curr_taking_art,displayVisible,boolean,true
Column,curr_taking_art,joins,object,""
Column,curr_tmp,displayChoicesList,object,""
Column,curr_tmp,displayFormat,string,""
Column,curr_tmp,displayName,object,"""curr_tmp"""
Column,curr_tmp,displayVisible,boolean,true
Column,curr_tmp,joins,object,""
Column,date,displayChoicesList,object,""
Column,date,displayFormat,string,""
Column,date,displayName,object,"""date"""
Column,date,displayVisible,boolean,true
Column,date,joins,object,""
Column,determine,displayChoicesList,object,""
Column,determine,displayFormat,string,""
Column,determine,displayName,object,"""determine"""
Column,determine,displayVisible,boolean,true
Column,determine,joins,object,""
Column,discordant,displayChoicesList,object,""
Column,discordant,displayFormat,string,""
Column,discordant,displayName,object,"""discordant"""
Column,discordant,displayVisible,boolean,true
Column,discordant,joins,object,""
Column,education_level,displayChoicesList,object,""
Column,education_level,displayFormat,string,""
Column,education_level,displayName,object,"""education_level"""
Column,education_level,displayVisible,boolean,true
Column,education_level,joins,object,""
Column,elisa_blood_drawn,displayChoicesList,object,""
Column,elisa_blood_drawn,displayFormat,string,""
Column,elisa_blood_drawn,displayName,object,"""elisa_blood_drawn"""
Column,elisa_blood_drawn,displayVisible,boolean,true
Column,elisa_blood_drawn,joins,object,""
Column,employment,displayChoicesList,object,""
Column,employment,displayFormat,string,""
Column,employment,displayName,object,"""employment"""
Column,employment,displayVisible,boolean,true
Column,employment,joins,object,""
Column,employment_items,displayChoicesList,object,""
Column,employment_items,displayFormat,string,""
Column,employment_items,displayName,object,"""items"""
Column,employment_items,displayVisible,boolean,true
Column,employment_items,joins,object,""
Column,employment_other,displayChoicesList,object,""
Column,employment_other,displayFormat,string,""
Column,employment_other,displayName,object,"""employment_other"""
Column,employment_other,displayVisible,boolean,true
Column,employment_other,joins,object,""
Column,ethnic_group,displayChoicesList,object,""
Column,ethnic_group,displayFormat,string,""
Column,ethnic_group,displayName,object,"""ethnic_group"""
Column,ethnic_group,displayVisible,boolean,true
Column,ethnic_group,joins,object,""
Column,ethnic_group_other,displayChoicesList,object,""
Column,ethnic_group_other,displayFormat,string,""
Column,ethnic_group_other,displayName,object,"""ethnic_group_other"""
Column,ethnic_group_other,displayVisible,boolean,true
Column,ethnic_group_other,joins,object,""
Column,hiv_status,displayChoicesList,object,""
Column,hiv_status,displayFormat,string,""
Column,hiv_status,displayName,object,"""hiv_status"""
Column,hiv_status,displayVisible,boolean,true
Column,hiv_status,joins,object,""
Column,hiv_tested,displayChoicesList,object,""
Column,hiv_tested,displayFormat,string,""
Column,hiv_tested,displayName,object,"""hiv_tested"""
Column,hiv_tested,displayVisible,boolean,true
Column,hiv_tested,joins,object,""
Column,ineligible_statement,displayChoicesList,object,""
Column,ineligible_statement,displayFormat,string,""
Column,ineligible_statement,displayName,object,"""ineligible_statement"""
Column,ineligible_statement,displayVisible,boolean,true
Column,ineligible_statement,joins,object,""
Column,influences,displayChoicesList,object,""
Column,influences,displayFormat,string,""
Column,influences,displayName,object,"""influences"""
Column,influences,displayVisible,boolean,true
Column,influences,joins,object,""
Column,influences_other,displayChoicesList,object,""
Column,influences_other,displayFormat,string,""
Column,influences_other,displayName,object,"""influences_other"""
Column,influences_other,displayVisible,boolean,true
Column,influences_other,joins,object,""
Column,interviewer_id,displayChoicesList,object,""
Column,interviewer_id,displayFormat,string,""
Column,interviewer_id,displayName,object,"""interviewer_id"""
Column,interviewer_id,displayVisible,boolean,true
Column,interviewer_id,joins,object,""
Column,interviewerw_init,displayChoicesList,object,""
Column,interviewerw_init,displayFormat,string,""
Column,interviewerw_init,displayName,object,"""interviewerw_init"""
Column,interviewerw_init,displayVisible,boolean,true
Column,interviewerw_init,joins,object,""
Column,living_children,displayChoicesList,object,""
Column,living_children,displayFormat,string,""
Column,living_children,displayName,object,"""living_children"""
Column,living_children,displayVisible,boolean,true
Column,living_children,joins,object,""
Column,living_children_enrolled_female,displayChoicesList,object,""
Column,living_children_enrolled_female,displayFormat,string,""
Column,living_children_enrolled_female,displayName,object,"""living_children_enrolled_female"""
Column,living_children_enrolled_female,displayVisible,boolean,true
Column,living_children_enrolled_female,joins,object,""
Column,more_children,displayChoicesList,object,""
Column,more_children,displayFormat,string,""
Column,more_children,displayName,object,"""more_children"""
Column,more_children,displayVisible,boolean,true
Column,more_children,joins,object,""
Column,partner_want_children,displayChoicesList,object,""
Column,partner_want_children,displayFormat,string,""
Column,partner_want_children,displayName,object,"""partner_want_children"""
Column,partner_want_children,displayVisible,boolean,true
Column,partner_want_children,joins,object,""
Column,preg_want_children,displayChoicesList,object,""
Column,preg_want_children,displayFormat,string,""
Column,preg_want_children,displayName,object,"""preg_want_children"""
Column,preg_want_children,displayVisible,boolean,true
Column,preg_want_children,joins,object,""
Column,prescr_art,displayChoicesList,object,""
Column,prescr_art,displayFormat,string,""
Column,prescr_art,displayName,object,"""prescr_art"""
Column,prescr_art,displayVisible,boolean,true
Column,prescr_art,joins,object,""
Column,prescr_tmp,displayChoicesList,object,""
Column,prescr_tmp,displayFormat,string,""
Column,prescr_tmp,displayName,object,"""prescr_tmp"""
Column,prescr_tmp,displayVisible,boolean,true
Column,prescr_tmp,joins,object,""
Column,pretest,displayChoicesList,object,""
Column,pretest,displayFormat,string,""
Column,pretest,displayName,object,"""pretest"""
Column,pretest,displayVisible,boolean,true
Column,pretest,joins,object,""
Column,refusal_reasons,displayChoicesList,object,""
Column,refusal_reasons,displayFormat,string,""
Column,refusal_reasons,displayName,object,"""refusal_reasons"""
Column,refusal_reasons,displayVisible,boolean,true
Column,refusal_reasons,joins,object,""
Column,refusal_reasons_items,displayChoicesList,object,""
Column,refusal_reasons_items,displayFormat,string,""
Column,refusal_reasons_items,displayName,object,"""items"""
Column,refusal_reasons_items,displayVisible,boolean,true
Column,refusal_reasons_items,joins,object,""
Column,refusal_reasons_other,displayChoicesList,object,""
Column,refusal_reasons_other,displayFormat,string,""
Column,refusal_reasons_other,displayName,object,"""refusal_reasons_other"""
Column,refusal_reasons_other,displayVisible,boolean,true
Column,refusal_reasons_other,joins,object,""
Column,religion,displayChoicesList,object,""
Column,religion,displayFormat,string,""
Column,religion,displayName,object,"""religion"""
Column,religion,displayVisible,boolean,true
Column,religion,joins,object,""
Column,religion_other,displayChoicesList,object,""
Column,religion_other,displayFormat,string,""
Column,religion_other,displayName,object,"""religion_other"""
Column,religion_other,displayVisible,boolean,true
Column,religion_other,joins,object,""
Column,return_disc_retest,displayChoicesList,object,""
Column,return_disc_retest,displayFormat,string,""
Column,return_disc_retest,displayName,object,"""return_disc_retest"""
Column,return_disc_retest,displayVisible,boolean,true
Column,return_disc_retest,joins,object,""
Column,still_relationship,displayChoicesList,object,""
Column,still_relationship,displayFormat,string,""
Column,still_relationship,displayName,object,"""still_relationship"""
Column,still_relationship,displayVisible,boolean,true
Column,still_relationship,joins,object,""
Column,test_result,displayChoicesList,object,""
Column,test_result,displayFormat,string,""
Column,test_result,displayName,object,"""test_result"""
Column,test_result,displayVisible,boolean,true
Column,test_result,joins,object,""
Column,unigold,displayChoicesList,object,""
Column,unigold,displayFormat,string,""
Column,unigold,displayName,object,"""unigold"""
Column,unigold,displayVisible,boolean,true
Column,unigold,joins,object,""
Table,default,colOrder,object,"[""interviewerw_init"",""interviewer_id"",""date"",""client_id"",""agree_screening"",""age"",""ethnic_group"",""ethnic_group_other"",""education_level"",""religion"",""religion_other"",""employment"",""employment_other"",""curr_relationship"",""living_children"",""living_children_enrolled_female"",""hiv_tested"",""test_result"",""ineligible_statement"",""client_consent"",""refusal_reasons"",""refusal_reasons_other"",""hiv_status"",""pretest"",""still_relationship"",""preg_want_children"",""more_children"",""partner_want_children"",""influences"",""influences_other"",""ccc"",""prescr_tmp"",""curr_tmp"",""prescr_art"",""curr_taking_art"",""determine"",""advise_second"",""unigold"",""elisa_blood_drawn"",""discordant"",""return_disc_retest"",""comments""]"
Table,default,defaultViewType,string,SPREADSHEET
Table,default,displayName,object,"""All Partner Form Fields"""
Table,default,groupByCols,object,[]
Table,default,indexCol,string,""
Table,default,sortCol,string,""
Table,default,sortOrder,string,""
