_element_key,_element_name,_element_type,_is_unit_of_retention,_list_child_element_keys
M_FOL_B_focal_AnimID,M_FOL_B_focal_AnimID,string,TRUE,null
M_FOL_date,M_FOL_date,date,TRUE,[]
M_comments,M_comments,string,TRUE,null
M_consort_flag,M_consort_flag,string,TRUE,null
M_fail_flag,M_fail_flag,string,TRUE,null
M_fem_swelling,M_fem_swelling,string,TRUE,null
M_female,M_female,string,TRUE,null
M_interference,M_interference,string,TRUE,null
M_male,M_male,string,TRUE,null
M_mate_guard_flag,M_mate_guard_flag,string,TRUE,null
M_time,M_time,time,TRUE,[]
