_partition,_aspect,_key,_type,_value
Column,CD4_count,displayChoicesList,object,""
Column,CD4_count,displayFormat,string,""
Column,CD4_count,displayName,object,"""CD4_count"""
Column,CD4_count,displayVisible,boolean,true
Column,CD4_count,joins,object,""
Column,CD4_count_image0,displayChoicesList,object,""
Column,CD4_count_image0,displayFormat,string,""
Column,CD4_count_image0,displayName,object,"""CD4_count_image0"""
Column,CD4_count_image0,displayVisible,boolean,true
Column,CD4_count_image0,joins,object,""
Column,CD4_count_image0_contentType,displayChoicesList,object,""
Column,CD4_count_image0_contentType,displayFormat,string,""
Column,CD4_count_image0_contentType,displayName,object,"""contentType"""
Column,CD4_count_image0_contentType,displayVisible,boolean,true
Column,CD4_count_image0_contentType,joins,object,""
Column,CD4_count_image0_uriFragment,displayChoicesList,object,""
Column,CD4_count_image0_uriFragment,displayFormat,string,""
Column,CD4_count_image0_uriFragment,displayName,object,"""uriFragment"""
Column,CD4_count_image0_uriFragment,displayVisible,boolean,true
Column,CD4_count_image0_uriFragment,joins,object,""
Column,CD4_percent,displayChoicesList,object,""
Column,CD4_percent,displayFormat,string,""
Column,CD4_percent,displayName,object,"""CD4_percent"""
Column,CD4_percent,displayVisible,boolean,true
Column,CD4_percent,joins,object,""
Column,CD4_percent_image0,displayChoicesList,object,""
Column,CD4_percent_image0,displayFormat,string,""
Column,CD4_percent_image0,displayName,object,"""CD4_percent_image0"""
Column,CD4_percent_image0,displayVisible,boolean,true
Column,CD4_percent_image0,joins,object,""
Column,CD4_percent_image0_contentType,displayChoicesList,object,""
Column,CD4_percent_image0_contentType,displayFormat,string,""
Column,CD4_percent_image0_contentType,displayName,object,"""contentType"""
Column,CD4_percent_image0_contentType,displayVisible,boolean,true
Column,CD4_percent_image0_contentType,joins,object,""
Column,CD4_percent_image0_uriFragment,displayChoicesList,object,""
Column,CD4_percent_image0_uriFragment,displayFormat,string,""
Column,CD4_percent_image0_uriFragment,displayName,object,"""uriFragment"""
Column,CD4_percent_image0_uriFragment,displayVisible,boolean,true
Column,CD4_percent_image0_uriFragment,joins,object,""
Column,CTZ_treatment_status,displayChoicesList,object,"[{""choice_list_name"":""CTZ_treatment_status_grid_values"",""data_value"":""started"",""display"":{""text"":""started""},""_row_num"":15},{""choice_list_name"":""CTZ_treatment_status_grid_values"",""data_value"":""ongoing"",""display"":{""text"":""ongoing""},""_row_num"":16},{""choice_list_name"":""CTZ_treatment_status_grid_values"",""data_value"":""ended"",""display"":{""text"":""ended""},""_row_num"":17}]"
Column,CTZ_treatment_status,displayFormat,string,""
Column,CTZ_treatment_status,displayName,object,"""CTZ_treatment_status"""
Column,CTZ_treatment_status,displayVisible,boolean,true
Column,CTZ_treatment_status,joins,object,""
Column,CTZ_treatment_status_image0,displayChoicesList,object,""
Column,CTZ_treatment_status_image0,displayFormat,string,""
Column,CTZ_treatment_status_image0,displayName,object,"""CTZ_treatment_status_image0"""
Column,CTZ_treatment_status_image0,displayVisible,boolean,true
Column,CTZ_treatment_status_image0,joins,object,""
Column,CTZ_treatment_status_image0_contentType,displayChoicesList,object,""
Column,CTZ_treatment_status_image0_contentType,displayFormat,string,""
Column,CTZ_treatment_status_image0_contentType,displayName,object,"""contentType"""
Column,CTZ_treatment_status_image0_contentType,displayVisible,boolean,true
Column,CTZ_treatment_status_image0_contentType,joins,object,""
Column,CTZ_treatment_status_image0_uriFragment,displayChoicesList,object,""
Column,CTZ_treatment_status_image0_uriFragment,displayFormat,string,""
Column,CTZ_treatment_status_image0_uriFragment,displayName,object,"""uriFragment"""
Column,CTZ_treatment_status_image0_uriFragment,displayVisible,boolean,true
Column,CTZ_treatment_status_image0_uriFragment,joins,object,""
Column,GSM_num,displayChoicesList,object,""
Column,GSM_num,displayFormat,string,""
Column,GSM_num,displayName,object,"""GSM_num"""
Column,GSM_num,displayVisible,boolean,true
Column,GSM_num,joins,object,""
Column,GSM_num_image0,displayChoicesList,object,""
Column,GSM_num_image0,displayFormat,string,""
Column,GSM_num_image0,displayName,object,"""GSM_num_image0"""
Column,GSM_num_image0,displayVisible,boolean,true
Column,GSM_num_image0,joins,object,""
Column,GSM_num_image0_contentType,displayChoicesList,object,""
Column,GSM_num_image0_contentType,displayFormat,string,""
Column,GSM_num_image0_contentType,displayName,object,"""contentType"""
Column,GSM_num_image0_contentType,displayVisible,boolean,true
Column,GSM_num_image0_contentType,joins,object,""
Column,GSM_num_image0_uriFragment,displayChoicesList,object,""
Column,GSM_num_image0_uriFragment,displayFormat,string,""
Column,GSM_num_image0_uriFragment,displayName,object,"""uriFragment"""
Column,GSM_num_image0_uriFragment,displayVisible,boolean,true
Column,GSM_num_image0_uriFragment,joins,object,""
