_partition,_aspect,_key,_type,_value
Column,address,displayChoicesList,object,[]
Column,address,displayFormat,string,""
Column,address,displayName,string,"""address"""
Column,address,displayVisible,boolean,TRUE
Column,address,joins,string,""
Column,address_image0,displayChoicesList,object,[]
Column,address_image0,displayFormat,string,""
Column,address_image0,displayName,string,"""address_image0"""
Column,address_image0,displayVisible,boolean,TRUE
Column,address_image0,joins,string,[]
Column,address_image0_contentType,displayChoicesList,string,[]
Column,address_image0_contentType,displayFormat,string,""
Column,address_image0_contentType,displayName,string,"""address_image0_contentType"""
Column,address_image0_contentType,displayVisible,boolean,FALSE
Column,address_image0_contentType,joins,string,[]
Column,address_image0_uriFragment,displayChoicesList,string,[]
Column,address_image0_uriFragment,displayFormat,string,""
Column,address_image0_uriFragment,displayName,string,"""address_image0_uriFragment"""
Column,address_image0_uriFragment,displayVisible,boolean,FALSE
Column,address_image0_uriFragment,joins,string,[]
Column,comments,displayChoicesList,object,[]
Column,comments,displayFormat,string,""
Column,comments,displayName,string,"""comments"""
Column,comments,displayVisible,boolean,TRUE
Column,comments,joins,string,""
Column,comments_image0,displayChoicesList,object,[]
Column,comments_image0,displayFormat,string,""
Column,comments_image0,displayName,string,"""comments_image0"""
Column,comments_image0,displayVisible,boolean,TRUE
Column,comments_image0,joins,string,[]
Column,comments_image0_contentType,displayChoicesList,string,[]
Column,comments_image0_contentType,displayFormat,string,""
Column,comments_image0_contentType,displayName,string,"""comments_image0_contentType"""
Column,comments_image0_contentType,displayVisible,boolean,FALSE
Column,comments_image0_contentType,joins,string,[]
Column,comments_image0_uriFragment,displayChoicesList,string,[]
Column,comments_image0_uriFragment,displayFormat,string,""
Column,comments_image0_uriFragment,displayName,string,"""comments_image0_uriFragment"""
Column,comments_image0_uriFragment,displayVisible,boolean,FALSE
Column,comments_image0_uriFragment,joins,string,[]
Column,fri_chores,displayChoicesList,object,[]
Column,fri_chores,displayFormat,string,""
Column,fri_chores,displayName,string,"""fri_chores"""
Column,fri_chores,displayVisible,boolean,TRUE
Column,fri_chores,joins,string,""
Column,fri_chores_image0,displayChoicesList,object,[]
Column,fri_chores_image0,displayFormat,string,""
Column,fri_chores_image0,displayName,string,"""fri_chores_image0"""
Column,fri_chores_image0,displayVisible,boolean,TRUE
Column,fri_chores_image0,joins,string,[]
Column,fri_chores_image0_contentType,displayChoicesList,string,[]
Column,fri_chores_image0_contentType,displayFormat,string,""
Column,fri_chores_image0_contentType,displayName,string,"""fri_chores_image0_contentType"""
Column,fri_chores_image0_contentType,displayVisible,boolean,FALSE
Column,fri_chores_image0_contentType,joins,string,[]
Column,fri_chores_image0_uriFragment,displayChoicesList,string,[]
Column,fri_chores_image0_uriFragment,displayFormat,string,""
Column,fri_chores_image0_uriFragment,displayName,string,"""fri_chores_image0_uriFragment"""
Column,fri_chores_image0_uriFragment,displayVisible,boolean,FALSE
Column,fri_chores_image0_uriFragment,joins,string,[]
Column,mon_chores,displayChoicesList,object,[]
Column,mon_chores,displayFormat,string,""
Column,mon_chores,displayName,string,"""mon_chores"""
Column,mon_chores,displayVisible,boolean,TRUE
Column,mon_chores,joins,string,""
Column,mon_chores_image0,displayChoicesList,object,[]
Column,mon_chores_image0,displayFormat,string,""
Column,mon_chores_image0,displayName,string,"""mon_chores_image0"""
Column,mon_chores_image0,displayVisible,boolean,TRUE
Column,mon_chores_image0,joins,string,[]
Column,mon_chores_image0_contentType,displayChoicesList,string,[]
Column,mon_chores_image0_contentType,displayFormat,string,""
Column,mon_chores_image0_contentType,displayName,string,"""mon_chores_image0_contentType"""
Column,mon_chores_image0_contentType,displayVisible,boolean,FALSE
Column,mon_chores_image0_contentType,joins,string,[]
Column,mon_chores_image0_uriFragment,displayChoicesList,string,[]
Column,mon_chores_image0_uriFragment,displayFormat,string,""
Column,mon_chores_image0_uriFragment,displayName,string,"""mon_chores_image0_uriFragment"""
Column,mon_chores_image0_uriFragment,displayVisible,boolean,FALSE
Column,mon_chores_image0_uriFragment,joins,string,[]
Column,name,displayChoicesList,object,[]
Column,name,displayFormat,string,""
Column,name,displayName,string,"""name"""
Column,name,displayVisible,boolean,TRUE
