_partition,_aspect,_key,_type,_value
Column,birthdate,displayChoicesList,object,[]
Column,birthdate,displayFormat,string,
Column,birthdate,displayName,object,"""birthdate"""
Column,birthdate,displayVisible,boolean,TRUE
Column,birthdate,joins,string,
Column,birthdate_image_0,displayChoicesList,object,[]
Column,birthdate_image_0,displayFormat,string,
Column,birthdate_image_0,displayName,object,"""birthdate_image_0"""
Column,birthdate_image_0,displayVisible,boolean,TRUE
Column,birthdate_image_0_contentType,displayChoicesList,string,[]
Column,birthdate_image_0_contentType,displayFormat,string,
Column,birthdate_image_0_contentType,displayName,object,"""birthdate_image_0_contentType"""
Column,birthdate_image_0_contentType,displayVisible,boolean,FALSE
Column,birthdate_image_0_contentType,joins,string,[]
Column,birthdate_image_0_uriFragment,displayChoicesList,string,[]
Column,birthdate_image_0_uriFragment,displayName,object,"""birthdate_image_0_uriFragment"""
Column,birthdate_image_0_uriFragment,displayVisible,boolean,FALSE
Column,birthdate_image_0_uriFragment,joins,string,[]
Column,bottlefed,displayChoicesList,object,[]
Column,bottlefed,displayFormat,string,
Column,bottlefed,displayName,object,"""bottlefed"""
Column,bottlefed,displayVisible,boolean,TRUE
Column,bottlefed,joins,string,
Column,bottlefed_image_0,displayChoicesList,object,[]
Column,bottlefed_image_0,displayFormat,string,
Column,bottlefed_image_0,displayName,object,"""bottlefed_image_0"""
Column,bottlefed_image_0,displayVisible,boolean,TRUE
Column,bottlefed_image_0_contentType,displayChoicesList,string,[]
Column,bottlefed_image_0_contentType,displayFormat,string,
Column,bottlefed_image_0_contentType,displayName,object,"""bottlefed_image_0_contentType"""
Column,bottlefed_image_0_contentType,displayVisible,boolean,FALSE
Column,bottlefed_image_0_contentType,joins,string,[]
Column,bottlefed_image_0_uriFragment,displayChoicesList,string,[]
Column,bottlefed_image_0_uriFragment,displayName,object,"""bottlefed_image_0_uriFragment"""
Column,bottlefed_image_0_uriFragment,displayVisible,boolean,FALSE
Column,bottlefed_image_0_uriFragment,joins,string,[]
Column,cardnum,displayChoicesList,object,[]
Column,cardnum,displayFormat,string,
Column,cardnum,displayName,object,"""cardnum"""
Column,cardnum,displayVisible,boolean,TRUE
Column,cardnum,joins,string,
Column,cardnum_image_0,displayChoicesList,object,[]
Column,cardnum_image_0,displayFormat,string,
Column,cardnum_image_0,displayName,object,"""cardnum_image_0"""
Column,cardnum_image_0,displayVisible,boolean,TRUE
Column,cardnum_image_0_contentType,displayChoicesList,string,[]
Column,cardnum_image_0_contentType,displayFormat,string,
Column,cardnum_image_0_contentType,displayName,object,"""cardnum_image_0_contentType"""
Column,cardnum_image_0_contentType,displayVisible,boolean,FALSE
Column,cardnum_image_0_contentType,joins,string,[]
Column,cardnum_image_0_uriFragment,displayChoicesList,string,[]
Column,cardnum_image_0_uriFragment,displayName,object,"""cardnum_image_0_uriFragment"""
Column,cardnum_image_0_uriFragment,displayVisible,boolean,FALSE
Column,cardnum_image_0_uriFragment,joins,string,[]
Column,childid,displayChoicesList,object,[]
Column,childid,displayFormat,string,
Column,childid,displayName,object,"""childid"""
Column,childid,displayVisible,boolean,TRUE
Column,childid,joins,string,
