_element_key,_element_name,_element_type,_list_child_element_keys
hepb0,hepb0,string,[]
hepb0_image_0,hepb0_image_0,mimeUri,"[""hepb0_image_0_uriFragment"",""hepb0_image_0_contentType""]"
hepb0_image_0_contentType,contentType,string,[]
hepb0_image_0_uriFragment,uriFragment,string,[]
hepb_initials,hepb_initials,string,[]
hepb_initials_image_0,hepb_initials_image_0,mimeUri,"[""hepb_initials_image_0_uriFragment"",""hepb_initials_image_0_contentType""]"
hepb_initials_image_0_contentType,contentType,string,[]
hepb_initials_image_0_uriFragment,uriFragment,string,[]
hepb_notes,hepb_notes,string,[]
hepb_notes_image_0,hepb_notes_image_0,mimeUri,"[""hepb_notes_image_0_uriFragment"",""hepb_notes_image_0_contentType""]"
hepb_notes_image_0_contentType,contentType,string,[]
hepb_notes_image_0_uriFragment,uriFragment,string,[]
nextvaccination,nextvaccination,string,[]
nextvaccination_image_0,nextvaccination_image_0,mimeUri,"[""nextvaccination_image_0_uriFragment"",""nextvaccination_image_0_contentType""]"
nextvaccination_image_0_contentType,contentType,string,[]
nextvaccination_image_0_uriFragment,uriFragment,string,[]
opv0,opv0,string,[]
opv0_image_0,opv0_image_0,mimeUri,"[""opv0_image_0_uriFragment"",""opv0_image_0_contentType""]"
opv0_image_0_contentType,contentType,string,[]
opv0_image_0_uriFragment,uriFragment,string,[]
opv_initials,opv_initials,string,[]
opv_initials_image_0,opv_initials_image_0,mimeUri,"[""opv_initials_image_0_uriFragment"",""opv_initials_image_0_contentType""]"
opv_initials_image_0_contentType,contentType,string,[]
opv_initials_image_0_uriFragment,uriFragment,string,[]
opv_notes,opv_notes,string,[]
opv_notes_image_0,opv_notes_image_0,mimeUri,"[""opv_notes_image_0_uriFragment"",""opv_notes_image_0_contentType""]"
opv_notes_image_0_contentType,contentType,string,[]
opv_notes_image_0_uriFragment,uriFragment,string,[]
qr_patientcode,qr_patientcode,string,[]
qr_patientcode_image_0,qr_patientcode_image_0,mimeUri,"[""qr_patientcode_image_0_uriFragment"",""qr_patientcode_image_0_contentType""]"
qr_patientcode_image_0_contentType,contentType,string,[]
qr_patientcode_image_0_uriFragment,uriFragment,string,[]
scan_output_directory,scan_output_directory,string,[]
vaccination1_initials,vaccination1_initials,string,[]
vaccination1_initials_image_0,vaccination1_initials_image_0,mimeUri,"[""vaccination1_initials_image_0_uriFragment"",""vaccination1_initials_image_0_contentType""]"
vaccination1_initials_image_0_contentType,contentType,string,[]
vaccination1_initials_image_0_uriFragment,uriFragment,string,[]
vaccination1_notes,vaccination1_notes,string,[]
vaccination1_notes_image_0,vaccination1_notes_image_0,mimeUri,"[""vaccination1_notes_image_0_uriFragment"",""vaccination1_notes_image_0_contentType""]"
vaccination1_notes_image_0_contentType,contentType,string,[]
vaccination1_notes_image_0_uriFragment,uriFragment,string,[]
vaccination2_initials,vaccination2_initials,string,[]
vaccination2_initials_image_0,vaccination2_initials_image_0,mimeUri,"[""vaccination2_initials_image_0_uriFragment"",""vaccination2_initials_image_0_contentType""]"
vaccination2_initials_image_0_contentType,contentType,string,[]
vaccination2_initials_image_0_uriFragment,uriFragment,string,[]
vaccination2_notes,vaccination2_notes,string,[]
vaccination2_notes_image_0,vaccination2_notes_image_0,mimeUri,"[""vaccination2_notes_image_0_uriFragment"",""vaccination2_notes_image_0_contentType""]"
vaccination2_notes_image_0_contentType,contentType,string,[]
vaccination2_notes_image_0_uriFragment,uriFragment,string,[]
vaccine1,vaccine1,string,[]
vaccine1_image_0,vaccine1_image_0,mimeUri,"[""vaccine1_image_0_uriFragment"",""vaccine1_image_0_contentType""]"
vaccine1_image_0_contentType,contentType,string,[]
vaccine1_image_0_uriFragment,uriFragment,string,[]
vaccine1date,vaccine1date,string,[]
vaccine1date_image_0,vaccine1date_image_0,mimeUri,"[""vaccine1date_image_0_uriFragment"",""vaccine1date_image_0_contentType""]"
vaccine1date_image_0_contentType,contentType,string,[]
vaccine1date_image_0_uriFragment,uriFragment,string,[]
vaccine2,vaccine2,string,[]
vaccine2_image_0,vaccine2_image_0,mimeUri,"[""vaccine2_image_0_uriFragment"",""vaccine2_image_0_contentType""]"
vaccine2_image_0_contentType,contentType,string,[]
vaccine2_image_0_uriFragment,uriFragment,string,[]
vaccine2date,vaccine2date,string,[]
vaccine2date_image_0,vaccine2date_image_0,mimeUri,"[""vaccine2date_image_0_uriFragment"",""vaccine2date_image_0_contentType""]"
vaccine2date_image_0_contentType,contentType,string,[]
vaccine2date_image_0_uriFragment,uriFragment,string,[]
