_partition,_aspect,_key,_type,_value
Column,msgtype,displayChoicesList,object,[]
Column,msgtype,displayFormat,string,""
Column,msgtype,displayName,string,"""msgtype"""
Column,msgtype,displayVisible,boolean,true
Column,msgtype,joins,string,""
Column,sample,displayChoicesList,object,[]
Column,sample,displayFormat,string,""
Column,sample,displayName,string,"""sample"""
Column,sample,displayVisible,boolean,true
Column,sample,joins,string,""
Column,sensorid,displayChoicesList,object,[]
Column,sensorid,displayFormat,string,""
Column,sensorid,displayName,string,"""sensorid"""
Column,sensorid,displayVisible,boolean,true
Column,sensorid,joins,string,""
Column,sensortype,displayChoicesList,object,[]
Column,sensortype,displayFormat,string,""
Column,sensortype,displayName,string,"""sensortype"""
Column,sensortype,displayVisible,boolean,true
Column,sensortype,joins,string,""
Column,timestamp,displayChoicesList,object,[]
Column,timestamp,displayFormat,string,""
Column,timestamp,displayName,string,"""timestamp"""
Column,timestamp,displayVisible,boolean,true
Column,timestamp,joins,string,""
Table,default,colOrder,object,"[""msgtype"",""sample"",""sensorid"",""sensortype"",""timestamp""]"
Table,default,defaultViewType,string,LIST
Table,default,detailViewFileName,string,tables/temperatureSensor/html/temperatureSensor_detail.html
Table,default,displayName,object,"""temperatureSensor"""
Table,default,groupByCols,object,[]
Table,default,indexCol,string,""
Table,default,listViewFileName,string,tables/temperatureSensor/html/temperatureSensor_list.html
Table,default,sortCol,string,""
Table,default,sortOrder,string,""
TableColorRuleGroup,default,StatusColumn.ruleList,object,"[{""mValue"":""rest"",""mElementKey"":""_sync_state"",""mOperator"":""EQUAL"",""mId"":""syncStateRest"",""mForeground"":-16777216,""mBackground"":-1},{""mValue"":""inserting"",""mElementKey"":""_sync_state"",""mOperator"":""EQUAL"",""mId"":""defaultRule_syncStateInserting"",""mForeground"":-16777216,""mBackground"":-16711936},{""mValue"":""updating"",""mElementKey"":""_sync_state"",""mOperator"":""EQUAL"",""mId"":""defaultRule_syncStateUpdating"",""mForeground"":-16777216,""mBackground"":-935891},{""mValue"":""conflicting"",""mElementKey"":""_sync_state"",""mOperator"":""EQUAL"",""mId"":""defaultRule_syncStateConflicting"",""mForeground"":-16777216,""mBackground"":-65536},{""mValue"":""deleting"",""mElementKey"":""_sync_state"",""mOperator"":""EQUAL"",""mId"":""defaultRule_syncStateDeleting"",""mForeground"":-16777216,""mBackground"":-12303292}]"
