_partition,_aspect,_key,_type,_value
Column,date,displayChoicesList,object,
Column,date,displayFormat,string,
Column,date,displayName,object,"""date"""
Column,date,displayVisible,boolean,TRUE
Column,date,joins,object,
Column,observations,displayChoicesList,object,
Column,observations,displayFormat,string,
Column,observations,displayName,object,"""observations"""
Column,observations,displayVisible,boolean,TRUE
Column,observations,joins,object,
Column,pests,displayChoicesList,object,
Column,pests,displayFormat,string,
Column,pests,displayName,object,"""pests"""
Column,pests,displayVisible,boolean,TRUE
Column,pests,joins,object,
Column,pests_items,displayChoicesList,object,
Column,pests_items,displayFormat,string,
Column,pests_items,displayName,object,"""items"""
Column,pests_items,displayVisible,boolean,TRUE
Column,pests_items,joins,object,
Column,plant_health,displayChoicesList,object,
Column,plant_health,displayFormat,string,
Column,plant_health,displayName,object,"""plant_health"""
Column,plant_health,displayVisible,boolean,TRUE
Column,plant_health,joins,object,
Column,plant_height,displayChoicesList,object,
Column,plant_height,displayFormat,string,
Column,plant_height,displayName,object,"""plant_height"""
Column,plant_height,displayVisible,boolean,TRUE
Column,plant_height,joins,object,
Column,plant_picture,displayChoicesList,object,
Column,plant_picture,displayFormat,string,
Column,plant_picture,displayName,object,"""plant_picture"""
Column,plant_picture,displayVisible,boolean,TRUE
Column,plant_picture,joins,object,
Column,plant_picture_contentType,displayChoicesList,object,
Column,plant_picture_contentType,displayFormat,string,
Column,plant_picture_contentType,displayName,object,"""contentType"""
Column,plant_picture_contentType,displayVisible,boolean,TRUE
Column,plant_picture_contentType,joins,object,
Column,plant_picture_uriFragment,displayChoicesList,object,
Column,plant_picture_uriFragment,displayFormat,string,
Column,plant_picture_uriFragment,displayName,object,"""uriFragment"""
Column,plant_picture_uriFragment,displayVisible,boolean,TRUE
Column,plant_picture_uriFragment,joins,object,
Column,plot_name,displayChoicesList,object,
Column,plot_name,displayFormat,string,
Column,plot_name,displayName,object,"""plot_name"""
Column,plot_name,displayVisible,boolean,TRUE
Column,plot_name,joins,object,
Column,soil,displayChoicesList,object,
Column,soil,displayFormat,string,
Column,soil,displayName,object,"""soil"""
Column,soil,displayVisible,boolean,TRUE
Column,soil,joins,object,
DetailDisplayActivity,default,filename,string,tables/visit/html/visit_detail.html
FormType,default,FormType.formType,string,SURVEY
ListDisplayActivity,default,nameOfListView,string,Plot visits
ListDisplayActivity.views,Plot visits,filename,string,tables/visit/html/visit_list.html
SurveyUtil,default,SurveyUtil.formId,string,visit
Table,default,colOrder,object,"[""plot_name"",""date"",""plant_height"",""plant_health"",""plant_picture_uriFragment"",""pests"",""soil"",""observations""]"
Table,default,defaultViewType,string,List
Table,default,displayName,object,"""Plot Visits"""
Table,default,groupByCols,string,[]
Table,default,indexCol,string,
Table,default,sortCol,string,
Table,default,sortOrder,string,
TableColorRuleGroup,default,StatusColumn.ruleList,object,"[{""mValue"":""rest"",""mElementKey"":""_sync_state"",""mOperator"":""EQUAL"",""mId"":""syncStateRest"",""mForeground"":-16777216,""mBackground"":-1},{""mValue"":""inserting"",""mElementKey"":""_sync_state"",""mOperator"":""EQUAL"",""mId"":""defaultRule_syncStateInserting"",""mForeground"":-16777216,""mBackground"":-16711936},{""mValue"":""updating"",""mElementKey"":""_sync_state"",""mOperator"":""EQUAL"",""mId"":""defaultRule_syncStateUpdating"",""mForeground"":-16777216,""mBackground"":-935891},{""mValue"":""conflicting"",""mElementKey"":""_sync_state"",""mOperator"":""EQUAL"",""mId"":""defaultRule_syncStateConflicting"",""mForeground"":-16777216,""mBackground"":-65536},{""mValue"":""deleting"",""mElementKey"":""_sync_state"",""mOperator"":""EQUAL"",""mId"":""defaultRule_syncStateDeleting"",""mForeground"":-16777216,""mBackground"":-12303292}]"
